rowID	CollCode	BibCit	InfWith	AssBy	VerbLoc	LocID	Lat	Long	LatLongP	CoordProto	CoordSyst	ElevMin	ElevMax	Country	CountryCod	Munici	Provin	Habita	Access	LocRem	EventID	EvenTtype	EventDate	VerbaDate	SamplEff	SamplMet	Fixative	Program	Target	CollByPerson	CollByGroup	EventRem	MeasDate	MeasByPerson	MeasByGroup	WaterTemp	WaterCond	MeasRemar	DateIden	IdenBy	IdenAttri	IdenVer	TaxCode	IdenQualif	TypeSta	IdenRem	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies	TaxRank	TaxStat	Authorship	ScName	TaxRem	MOTU	OccID	BasRec	RefBy	OrgQuan	OrgCount	OccRem	AssRef	Eyes	Pigment	Gene	AN	Isolate	Origin_tax_name	Collection	OriginalLink	DataSource
1	World Asellidae Database	Saclier et al. 2023. The World Asellidae database and phylogeny: a collaborative backbone resource for comparative studies of subterranean life evolution. Molecular Ecology Resources, in press.	See https://gotit.univ-lyon1.fr	Florian Malard	PLANINA CAVE PIVKA CHANNEL	PIVKACAV	45,819984	14,245817	0,001	Georeferenced at site location	Decimal degrees WGS84	526	526	SLOVENIA		PLANINA	POSTOJNA	ZONE NON SATUREE KARSTIQUE	GROTTE		PIVKACAV_199302	Biotic sampling	1993-02-23			A VUE	ALCOOL	Programme inconnu	ASELLUS_AQUATICUS_CAVERNICOLUS	PREVORCNIK S		Planina cave Planinska jama, river Pivka sampled by Simona Prevorcnik. Sample used by Colin Issartel for egg sise measurements	1993-02-23	PREVORCNIK S					1993-02-23	PREVORCNIK S	Morphologie	Asellus (Asellus) aquaticus cavernicolus	Aaquaticuscavernicolus				Arthropoda	Malacostraca	Isopoda	Asellidae	Asellus	Asellus	aquaticus	cavernicolus	Subspecies	accepted	Racovitza, 1925	Asellus (Asellus) aquaticus cavernicolus Racovitza, 1925			ASELLUS_AQUATICUS_CAVERNICOLUS|PIVKACAV_199302	Preserved specimen	MALARD F		15	Sample used by Colin Issartel for egg size measurements	Prevorcnik S. Blejec A. Sket B. 2004. Racial differentiation in Asellus aquaticus (L.) (Crustacea Isopoda Asellidae). Archiv fur Hydrobiologie 160, 2, 193_214.	Eyeless	Unpigmented					UCBLZ collections: Zoological Collections of University Claude Bernard Lyon 1	https://gotit.univ-lyon1.fr/en/	The World Asellidae Database
2	World Asellidae Database	Saclier et al. 2023. The World Asellidae database and phylogeny: a collaborative backbone resource for comparative studies of subterranean life evolution. Molecular Ecology Resources, in press.	See https://gotit.univ-lyon1.fr	Florian Malard	RAK CHANNEL, PLANINA CAVE, PLANINA, SI	PLANINS2	45,816	14,244	NA	NA	Decimal degrees WGS84	606	606	SLOVENIA		PLANINA	POSTOJNA	EAU DOUCE SOUTERRAINE	GROTTE		PLANINS2_199302	Biotic sampling	1993-02-23			A VUE	ALCOOL	Programme inconnu	ASELLUS_AQUATICUS_CAVERNICOLUS	PREVORCNIK S		Planina cave Planinska jama river Rak sampled by Simona Prevorcnik. Samples to be used initially by Colin Issartel for egg sise measurements	1993-02-23	PREVORCNIK S					1993-02-23	PREVORCNIK S	Morphologie	Asellus (Asellus) aquaticus cavernicolus	Aaquaticuscavernicolus				Arthropoda	Malacostraca	Isopoda	Asellidae	Asellus	Asellus	aquaticus	cavernicolus	Subspecies	accepted	Racovitza, 1925	Asellus (Asellus) aquaticus cavernicolus Racovitza, 1925			ASELLUS_AQUATICUS_CAVERNICOLUS|PLANINS2_199302	Preserved specimen	MALARD F		25	Sample to be used for egg size measurements.	Prevorcnik S. Blejec A. Sket B. 2004. Racial differentiation in Asellus aquaticus (L.) (Crustacea Isopoda Asellidae). Archiv fur Hydrobiologie 160, 2, 193_214.	Eyeless	Unpigmented					UCBLZ collections: Zoological Collections of University Claude Bernard Lyon 1	https://gotit.univ-lyon1.fr/en/	The World Asellidae Database
3	World Asellidae Database	Saclier et al. 2023. The World Asellidae database and phylogeny: a collaborative backbone resource for comparative studies of subterranean life evolution. Molecular Ecology Resources, in press.	See https://gotit.univ-lyon1.fr	Florian Malard	HAGIENI SURFACE SULFUROUS SPRING. LIMESTONE PLATEAU OF SOUTHERN DOBROGOEA	HAGIENIS	43,802599	28,474663	0,001	Georeferenced at site location	Decimal degrees WGS84	7	7	ROMANIA		HAGIENI	CONSTANTA	EAU DOUCE DE SURFACE	0 - INCONNU		HAGIENIS_201806	Biotic sampling	2018-06-15			A VUE	RNA LATER	Integrative study of convergent genomic evolution across three animal groups	ASELLUS_AQUATICUS_INFERNUS	LEFEBURE T|SARBU S|PROTAS M		pH: 7.00	2018-06-15	LEFEBURE T|SARBU S|PROTAS M		21	1427		2018-06-15	LEFEBURE T	Morphologie	Asellus (Asellus) aquaticus infernus	Aaquaticusinfernus				Arthropoda	Malacostraca	Isopoda	Asellidae	Asellus	Asellus	aquaticus	infernus	Subspecies	accepted	Turk-Prevorcnik & Blejec, 1998	Asellus (Asellus) aquaticus infernus Turk-Prevorcnik & Blejec, 1998			ASELLUS_AQUATICUS_INFERNUS|HAGIENIS_201806	Preserved specimen	MALARD F		5	5 individus dans RNA later stocke par T. Lefebure		Eyeless	Unpigmented					UCBLZ collections: Zoological Collections of University Claude Bernard Lyon 1	https://gotit.univ-lyon1.fr/en/	The World Asellidae Database
4	World Asellidae Database	Saclier et al. 2023. The World Asellidae database and phylogeny: a collaborative backbone resource for comparative studies of subterranean life evolution. Molecular Ecology Resources, in press.	See https://gotit.univ-lyon1.fr	Florian Malard	MOVILE CAVE. LIMESTONE PLATEAU OF SOUTHERN DOBROGOEA	MOVILECA	43,826753	28,562125	0,001	Georeferenced at site location	Decimal degrees WGS84	26	26	ROMANIA		MANGALIA	CONSTANTA	EAU DOUCE SOUTERRAINE	GROTTE		MOVILECA_201806	Biotic sampling	2018-06-15			A VUE	RNA LATER	Integrative study of convergent genomic evolution across three animal groups	ASELLUS_AQUATICUS_INFERNUS	LEFEBURE T|SARBU S		Station type de Asellus aquaticus infernus	2018-06-15	LEFEBURE T|SARBU S					2018-06-15	LEFEBURE T	Morphologie	Asellus (Asellus) aquaticus infernus	Aaquaticusinfernus				Arthropoda	Malacostraca	Isopoda	Asellidae	Asellus	Asellus	aquaticus	infernus	Subspecies	accepted	Turk-Prevorcnik & Blejec, 1998	Asellus (Asellus) aquaticus infernus Turk-Prevorcnik & Blejec, 1998			ASELLUS_AQUATICUS_INFERNUS|MOVILECA_201806	Preserved specimen	MALARD F		2	2 individus dans RNA later stocke par T. Lefebure		Eyeless	Unpigmented					UCBLZ collections: Zoological Collections of University Claude Bernard Lyon 1	https://gotit.univ-lyon1.fr/en/	The World Asellidae Database
5	World Asellidae Database	Saclier et al. 2023. The World Asellidae database and phylogeny: a collaborative backbone resource for comparative studies of subterranean life evolution. Molecular Ecology Resources, in press.	See https://gotit.univ-lyon1.fr	Florian Malard	AVRAM IANCY 24	AIARCU24	43,82106	28,57394	0,001	Georeferenced at site location	Decimal degrees WGS84	14	14	ROMANIA		MANGALIA	CONSTANTA	ZONE SATUREE KARSTIQUE	PUITS		AIARCU24_201806	Biotic sampling	2018-06-14			A VUE	RNA LATER	Integrative study of convergent genomic evolution across three animal groups	ASELLUS_AQUATICUS_INFERNUS	LEFEBURE T|SARBU S|PROTAS M		pH: 7.26	2018-06-14	LEFEBURE T|SARBU S|PROTAS M		21	1518		2018-06-14	LEFEBURE T	Morphologie	Asellus (Asellus) aquaticus infernus	Aaquaticusinfernus				Arthropoda	Malacostraca	Isopoda	Asellidae	Asellus	Asellus	aquaticus	infernus	Subspecies	accepted	Turk-Prevorcnik & Blejec, 1998	Asellus (Asellus) aquaticus infernus Turk-Prevorcnik & Blejec, 1998			ASELLUS_AQUATICUS|AIARCU24_201806	Preserved specimen	MALARD F		8	8 individus dans RNA later stocke par T. Lefebure		Eyeless	Unpigmented					UCBLZ collections: Zoological Collections of University Claude Bernard Lyon 1	https://gotit.univ-lyon1.fr/en/	The World Asellidae Database
6	World Asellidae Database	Saclier et al. 2023. The World Asellidae database and phylogeny: a collaborative backbone resource for comparative studies of subterranean life evolution. Molecular Ecology Resources, in press.	See https://gotit.univ-lyon1.fr	AssBy	WELL F4. DOBROGOEA. MANGALIA. LIMESTONE PLATEAU OF SOUTHERN DOBROGOEA	DOBROWF4	43,8291	28,5299	1	Nearest locality	Decimal degrees WGS84			ROMANIA		MANGALIA	CONSTANTA	AQUIFERE KARSTIQUE	PUITS		DOBROWF4_000000	Biotic sampling				0 - INCONNU	0 - INCONNU	Programme inconnu	ASELLIDAE|INCONNU	INCONNU				INCONNU						INCONNU	Morphologie	Asellus (Asellus) aquaticus infernus	Aaquaticusinfernus				Arthropoda	Malacostraca	Isopoda	Asellidae	Asellus	Asellus	aquaticus	infernus	Subspecies	accepted	Turk-Prevorcnik & Blejec, 1998	Asellus (Asellus) aquaticus infernus Turk-Prevorcnik & Blejec, 1998			ASELLUS_AQUATICUS_INFERNUS|DOBROWF4_000000	Literature	MALARD F	NA			Prevorcnik S., Jugovic J., Sket B. 2009. Geography of morphological differentiation in Asellus aquaticus (Crustacea: Isopoda: Asellidae). Journal of Zoological Systematics and Evolutionary Research, 47(2), 124-131.	Vestigial eyes	Unpigmented							
7	World Asellidae Database	Saclier et al. 2023. The World Asellidae database and phylogeny: a collaborative backbone resource for comparative studies of subterranean life evolution. Molecular Ecology Resources, in press.	See https://gotit.univ-lyon1.fr	Florian Malard	WELL F8. DOBROGOEA. LIMESTONE PLATEAU OF SOUTHERN DOBROGOEA	DOBROWF8	43,8265	28,5039	1	Nearest locality	Decimal degrees WGS84			ROMANIA		ARSA	CONSTANTA	AQUIFERE KARSTIQUE	PUITS		DOBROWF8_000000	Biotic sampling				0 - INCONNU	0 - INCONNU	Programme inconnu	ASELLIDAE|INCONNU	INCONNU				INCONNU						INCONNU	Morphologie	Asellus (Asellus) aquaticus infernus	Aaquaticusinfernus				Arthropoda	Malacostraca	Isopoda	Asellidae	Asellus	Asellus	aquaticus	infernus	Subspecies	accepted	Turk-Prevorcnik & Blejec, 1998	Asellus (Asellus) aquaticus infernus Turk-Prevorcnik & Blejec, 1998			ASELLUS_AQUATICUS_INFERNUS|DOBROWF8_000000	Literature	MALARD F	NA			Prevorcnik S., Jugovic J., Sket B. 2009. Geography of morphological differentiation in Asellus aquaticus (Crustacea: Isopoda: Asellidae). Journal of Zoological Systematics and Evolutionary Research, 47(2), 124-131.	Vestigial eyes	Unpigmented							
8	World Asellidae Database	Saclier et al. 2023. The World Asellidae database and phylogeny: a collaborative backbone resource for comparative studies of subterranean life evolution. Molecular Ecology Resources, in press.	See https://gotit.univ-lyon1.fr	Florian Malard	HAGIENI SURFACE SULFUROUS SPRING. LIMESTONE PLATEAU OF SOUTHERN DOBROGOEA	HAGIENIS	43,802599	28,474663	0,001	Georeferenced at site location	Decimal degrees WGS84	7	7	ROMANIA		HAGIENI	CONSTANTA	EAU DOUCE DE SURFACE	0 - INCONNU		HAGIENIS_000000	Biotic sampling				0 - INCONNU	0 - INCONNU	Programme inconnu	ASELLIDAE|INCONNU	INCONNU				INCONNU						INCONNU	Morphologie	Asellus (Asellus) aquaticus infernus	Aaquaticusinfernus				Arthropoda	Malacostraca	Isopoda	Asellidae	Asellus	Asellus	aquaticus	infernus	Subspecies	accepted	Turk-Prevorcnik & Blejec, 1998	Asellus (Asellus) aquaticus infernus Turk-Prevorcnik & Blejec, 1998			ASELLUS_AQUATICUS_INFERNUS|HAGIENIS_000000	Literature	MALARD F	NA			Prevorcnik S., Blejec A. 1998. Asellus aquaticus infernus. new subspecies (Isopoda: Asellota: Asselidae) from Romanian hypogean waters. Journal of Crustacean Biology, 18(4), 763-777.	Vestigial eyes	Unpigmented							
9	World Asellidae Database	Saclier et al. 2023. The World Asellidae database and phylogeny: a collaborative backbone resource for comparative studies of subterranean life evolution. Molecular Ecology Resources, in press.	See https://gotit.univ-lyon1.fr	Florian Malard	MOVILE CAVE. LIMESTONE PLATEAU OF SOUTHERN DOBROGOEA	MOVILECA	43,826753	28,562125	0,001	Georeferenced at site location	Decimal degrees WGS84	26	26	ROMANIA		MANGALIA	CONSTANTA	EAU DOUCE SOUTERRAINE	GROTTE		MOVILECA_000000	Biotic sampling				0 - INCONNU	0 - INCONNU	Programme inconnu	ASELLIDAE|INCONNU	INCONNU				INCONNU					1998	PREVORCNIK S|BLEJEC A	Morphologie	Asellus (Asellus) aquaticus infernus	Aaquaticusinfernus				Arthropoda	Malacostraca	Isopoda	Asellidae	Asellus	Asellus	aquaticus	infernus	Subspecies	accepted	Turk-Prevorcnik & Blejec, 1998	Asellus (Asellus) aquaticus infernus Turk-Prevorcnik & Blejec, 1998			ASELLUS_AQUATICUS_INFERNUS|MOVILECA_000000	Literature	MALARD F	NA			Prevorcnik S., Blejec A. 1998. Asellus aquaticus infernus. new subspecies (Isopoda: Asellota: Asselidae) from Romanian hypogean waters. Journal of Crustacean Biology, 18(4), 763-777.	Eyeless	Unpigmented							
10	World Asellidae Database	Saclier et al. 2023. The World Asellidae database and phylogeny: a collaborative backbone resource for comparative studies of subterranean life evolution. Molecular Ecology Resources, in press.	See https://gotit.univ-lyon1.fr	Florian Malard	WELL F8. DOBROGOEA. LIMESTONE PLATEAU OF SOUTHERN DOBROGOEA	DOBROWF8	43,8265	28,5039	1	Nearest locality	Decimal degrees WGS84			ROMANIA		ARSA	CONSTANTA	AQUIFERE KARSTIQUE	PUITS		DOBROWF8_199404	Biotic sampling	1994-04-18			A VUE	ALCOOL	Programme inconnu	ASELLUS_AQUATICUS_INFERNUS	PREVORCNIK S		Mangalia well F8 sampled by Simona Prevorcnik. Samples to be used initially by Colin Issartel for egg sise measurements	1994-04-18	PREVORCNIK S					1994-04-18	PREVORCNIK S	Morphologie	Asellus (Asellus) aquaticus infernus	Aaquaticusinfernus				Arthropoda	Malacostraca	Isopoda	Asellidae	Asellus	Asellus	aquaticus	infernus	Subspecies	accepted	Turk-Prevorcnik & Blejec, 1998	Asellus (Asellus) aquaticus infernus Turk-Prevorcnik & Blejec, 1998			ASELLUS_AQUATICUS_INFERNUS|DOBROWF8_199404	Preserved specimen	MALARD F		5	Sample to be used for egg size measurements	Prevorcnik S. Blejec A. Sket B. 2004. Racial differentiation in Asellus aquaticus (L.) (Crustacea Isopoda Asellidae). Archiv fur Hydrobiologie 160, 2, 193_214.	Eyeless	Unpigmented					UCBLZ collections: Zoological Collections of University Claude Bernard Lyon 1	https://gotit.univ-lyon1.fr/en/	The World Asellidae Database
