CollCode;AssBy;VerbLoc;LocID;Lat;Long;LatLongP;Country;CountryCod;IdenVer;Phylum;Class;Order;Family;Genus;Species;TaxRank;TaxStat;OccID;BasRec;RefBy
World Asellidae Database;Florian Malard;PLANINA CAVE PIVKA CHANNEL;PIVKACAV;45.819984;14.245817;0.001;SLOVENIA;;Asellus (Asellus) aquaticus cavernicolus;Arthropoda;Malacostraca;Isopoda;Asellidae;Asellus;aquaticus;Subspecies;accepted;ASELLUS_AQUATICUS_CAVERNICOLUS|PIVKACAV_199302;Preserved specimen;MALARD F
World Asellidae Database;Florian Malard;RAK CHANNEL, PLANINA CAVE, PLANINA, SI;PLANINS2;45.816;14.244;NA;SLOVENIA;;Asellus (Asellus) aquaticus cavernicolus;Arthropoda;Malacostraca;Isopoda;Asellidae;Asellus;aquaticus;Subspecies;accepted;ASELLUS_AQUATICUS_CAVERNICOLUS|PLANINS2_199302;Preserved specimen;MALARD F
World Asellidae Database;Florian Malard;HAGIENI SURFACE SULFUROUS SPRING. LIMESTONE PLATEAU OF SOUTHERN DOBROGOEA;HAGIENIS;43.802599;28.474663;0.001;ROMANIA;;Asellus (Asellus) aquaticus infernus;Arthropoda;Malacostraca;Isopoda;Asellidae;Asellus;aquaticus;Subspecies;accepted;ASELLUS_AQUATICUS_INFERNUS|HAGIENIS_201806;Preserved specimen;MALARD F
World Asellidae Database;Florian Malard;MOVILE CAVE. LIMESTONE PLATEAU OF SOUTHERN DOBROGOEA;MOVILECA;43.826753;28.562125;0.001;ROMANIA;;Asellus (Asellus) aquaticus infernus;Arthropoda;Malacostraca;Isopoda;Asellidae;Asellus;aquaticus;Subspecies;accepted;ASELLUS_AQUATICUS_INFERNUS|MOVILECA_201806;Preserved specimen;MALARD F
World Asellidae Database;Florian Malard;AVRAM IANCY 24;AIARCU24;43.82106;28.57394;0.001;ROMANIA;;Asellus (Asellus) aquaticus infernus;Arthropoda;Malacostraca;Isopoda;Asellidae;Asellus;aquaticus;Subspecies;accepted;ASELLUS_AQUATICUS|AIARCU24_201806;Preserved specimen;MALARD F
World Asellidae Database;Florian Malard;WELL F4. DOBROGOEA. MANGALIA. LIMESTONE PLATEAU OF SOUTHERN DOBROGOEA;DOBROWF4;43.8291;28.5299;1.000;ROMANIA;;Asellus (Asellus) aquaticus infernus;Arthropoda;Malacostraca;Isopoda;Asellidae;Asellus;aquaticus;Subspecies;accepted;ASELLUS_AQUATICUS_INFERNUS|DOBROWF4_000000;Literature;MALARD F
World Asellidae Database;Florian Malard;WELL F8. DOBROGOEA. LIMESTONE PLATEAU OF SOUTHERN DOBROGOEA;DOBROWF8;43.8265;28.5039;1.000;ROMANIA;;Asellus (Asellus) aquaticus infernus;Arthropoda;Malacostraca;Isopoda;Asellidae;Asellus;aquaticus;Subspecies;accepted;ASELLUS_AQUATICUS_INFERNUS|DOBROWF8_000000;Literature;MALARD F
World Asellidae Database;Florian Malard;HAGIENI SURFACE SULFUROUS SPRING. LIMESTONE PLATEAU OF SOUTHERN DOBROGOEA;HAGIENIS;43.802599;28.474663;0.001;ROMANIA;;Asellus (Asellus) aquaticus infernus;Arthropoda;Malacostraca;Isopoda;Asellidae;Asellus;aquaticus;Subspecies;accepted;ASELLUS_AQUATICUS_INFERNUS|HAGIENIS_000000;Literature;MALARD F
World Asellidae Database;Florian Malard;MOVILE CAVE. LIMESTONE PLATEAU OF SOUTHERN DOBROGOEA;MOVILECA;43.826753;28.562125;0.001;ROMANIA;;Asellus (Asellus) aquaticus infernus;Arthropoda;Malacostraca;Isopoda;Asellidae;Asellus;aquaticus;Subspecies;accepted;ASELLUS_AQUATICUS_INFERNUS|MOVILECA_000000;Literature;MALARD F
World Asellidae Database;Florian Malard;WELL F8. DOBROGOEA. LIMESTONE PLATEAU OF SOUTHERN DOBROGOEA;DOBROWF8;43.8265;28.5039;1.000;ROMANIA;;Asellus (Asellus) aquaticus infernus;Arthropoda;Malacostraca;Isopoda;Asellidae;Asellus;aquaticus;Subspecies;accepted;ASELLUS_AQUATICUS_INFERNUS|DOBROWF8_199404;Preserved specimen;MALARD F
World Asellidae Database;Florian Malard;ALEEA CETATII 1;CETATII1;43.81456;28.58361;0.001;ROMANIA;;Asellus (Asellus) aquaticus infernus;Arthropoda;Malacostraca;Isopoda;Asellidae;Asellus;aquaticus;Subspecies;accepted;ASELLUS_AQUATICUS_INFERNUS|CETATII1_201306;Preserved specimen;MALARD F
World Asellidae Database;Florian Malard;TREBICIANO CAVE;TREBICGR;45.685327;13.833536;0.001;ITALY;;Asellus (Asellus) kosswigi;Arthropoda;Malacostraca;Isopoda;Asellidae;Asellus;kosswigi;Species;accepted;ASELLUS_KOSSWIGI|TREBICGR_201608;Preserved specimen;MALARD F
