"id"	"VerbLoc"	"LocID"	"Lat"	"Long"	"LatLongP"	"CoordProto"	"ElevMin"	"ElevMax"	"Country"	"CountryCod"	"Munici"	"Provin"
1	"PLANINA CAVE PIVKA CHANNEL"	"PIVKACAV"	45,819984	14,245817	0,001	"Georeferenced at site location"	526	526	"SLOVENIA"		"PLANINA"	"POSTOJNA"
2	"RAK CHANNEL, PLANINA CAVE, PLANINA, SI"	"PLANINS2"	45,816	14,244	0,001	"NA"	606	606	"SLOVENIA"		"PLANINA"	"POSTOJNA"
3	"HAGIENI SURFACE SULFUROUS SPRING. LIMESTONE PLATEAU OF SOUTHERN DOBROGOEA"	"HAGIENIS"	43,802599	28,474663	0,001	"Georeferenced at site location"	7	7	"ROMANIA"		"HAGIENI"	"CONSTANTA"
4	"MOVILE CAVE. LIMESTONE PLATEAU OF SOUTHERN DOBROGOEA"	"MOVILECA"	43,826753	28,562125	0,001	"Georeferenced at site location"	26	26	"ROMANIA"		"MANGALIA"	"CONSTANTA"
5	"AVRAM IANCY 24"	"AIARCU24"	43,82106	28,57394	0,001	"Georeferenced at site location"	14	14	"ROMANIA"		"MANGALIA"	"CONSTANTA"
6	"WELL F4. DOBROGOEA. MANGALIA. LIMESTONE PLATEAU OF SOUTHERN DOBROGOEA"	"DOBROWF4"	43,8291	28,5299	1,000	"Nearest locality"			"ROMANIA"		"MANGALIA"	"CONSTANTA"
7	"WELL F8. DOBROGOEA. LIMESTONE PLATEAU OF SOUTHERN DOBROGOEA"	"DOBROWF8"	43,8265	28,5039	1,000	"Nearest locality"			"ROMANIA"		"ARSA"	"CONSTANTA"
8	"HAGIENI SURFACE SULFUROUS SPRING. LIMESTONE PLATEAU OF SOUTHERN DOBROGOEA"	"HAGIENIS"	43,802599	28,474663	0,001	"Georeferenced at site location"	7	7	"ROMANIA"		"HAGIENI"	"CONSTANTA"
9	"MOVILE CAVE. LIMESTONE PLATEAU OF SOUTHERN DOBROGOEA"	"MOVILECA"	43,826753	28,562125	0,001	"Georeferenced at site location"	26	26	"ROMANIA"		"MANGALIA"	"CONSTANTA"
10	"WELL F8. DOBROGOEA. LIMESTONE PLATEAU OF SOUTHERN DOBROGOEA"	"DOBROWF8"	43,8265	28,5039	1,000	"Nearest locality"			"ROMANIA"		"ARSA"	"CONSTANTA"
11	"ALEEA CETATII 1"	"CETATII1"	43,81456	28,58361	0,001	"Georeferenced at site location"	17	17	"ROMANIA"		"MANGALIA"	"CONSTANTA"
12	"TREBICIANO CAVE"	"TREBICGR"	45,685327	13,833536	0,001	"Georeferenced at site location"	357	357	"ITALY"		"TRIESTE"	"TRIESTE"
13	"TREBICIANO CAVE, TRIESTE, IT TREBICI1 ITALY"	"TREBICI1"	45,673	13,825	"NA"	"NA"	342	342	"ITALY"		"TREBICIANO"	"TRIESTE"
14	"TREBICIANO CAVE"	"TREBICGR"	45,685327	13,833536	0,001	"Georeferenced at site location"	357	357	"ITALY"		"TRIESTE"	"TRIESTE"
15	"GROTTA MERAVIGLIOSA DI LAZZARO JERKO OPICINA ITALY"	"MERAVIGL"	45,688	13,7888	"NA"	"NA"	322	322	"ITALY"		"OPICINA"	"TRIESTE"
