"ID","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","acceptedNameUsage","namePublishedInYear","country","Locality","locationRemarks","habitat","decimalLongitude","decimalLatitude","geodeticDatum","Easting_EPSG3035","Northing_EPSG3035","Coord.Uncertainty","Coord.Validator","associatedReferences","PublicationYear","source","researchGroup"
1,"Cyclopoida","Cyclopidae","Cyclopinae","Diacyclops","NULL","clandestinus","NULL","Diacyclops clandestinus","(Kiefer, 1926)","Diacyclops clandestinus (Kiefer, 1926)","1926","Albania","Mati river, Milot, Lezhës district","hyporheic","Aquifer in unconsolidated sediments:hyporeic",19.682,41.683,"EPSG: 4326",5127741.484156271,2116319.022818612,"2 km","Francesco Cerasoli","Pandourski I. (1997) Cyclopides (Crustacea Copepoda) des eaux souterraines de l'Albanie. Acta Zoologica Bulgarica, 49: 64-67",1997,"Literature: F. Stoch","NULL"
2,"Cyclopoida","Cyclopidae","Cyclopinae","Diacyclops","NULL","cosanus","NULL","Diacyclops cosanus","Stella & Salvatori, 1954","Diacyclops cosanus Stella & Salvatori, 1954","1954","Albania","Mati river, Milot, Lezhës district","hyporheic","Aquifer in unconsolidated sediments:hyporeic",19.682,41.683,"EPSG: 4326",5127741.484156271,2116319.022818612,"2 km","Francesco Cerasoli","Pandourski I. (1997) Cyclopides (Crustacea Copepoda) des eaux souterraines de l'Albanie. Acta Zoologica Bulgarica, 49: 64-67",1997,"Literature: F. Stoch","NULL"
3,"Cyclopoida","Cyclopidae","Cyclopinae","Diacyclops","NULL","paolae","NULL","Diacyclops paolae","Pesce & Galassi, 1987","Diacyclops paolae Pesce & Galassi, 1987","1987","Albania","Schkodra lake, sandy beach, 2 km drom Montenegro border","hyporheic habitat","NULL",19.358,42.221,"EPSG: 4326",5094051.129633844,2172118.471668586,"1 km","Francesco Cerasoli","Pandourski I. (1997) Cyclopides (Crustacea Copepoda) des eaux souterraines de l'Albanie. Acta Zoologica Bulgarica, 49: 64-67",1997,"Literature: F. Stoch","NULL"
4,"Cyclopoida","Cyclopidae","Cyclopinae","Diacyclops","NULL","sp.","NULL","Diacyclops sp. group languidoides","NULL","NULL","NULL","Albania","Schkodra lake, sandy beach, 2 km drom Montenegro border","hyporheic habitat","NULL",19.358,42.221,"EPSG: 4326",5094051.129633844,2172118.471668586,"1 km","Francesco Cerasoli","Pandourski I. (1997) Cyclopides (Crustacea Copepoda) des eaux souterraines de l'Albanie. Acta Zoologica Bulgarica, 49: 64-67",1997,"Literature: F. Stoch","NULL"
5,"Cyclopoida","Cyclopidae","Cyclopinae","Diacyclops","NULL","sp.","NULL","Diacyclops sp. group languidoides","NULL","NULL","NULL","Albania","Krevenices cave, Dajç village, Scutari district","cave, subterranean lakes","Karst:saturated",19.406,41.993,"EPSG: 4326",5100917.749203397,2147519.847993927,"2 km","Francesco Cerasoli","Pandourski I. (1997) Cyclopides (Crustacea Copepoda) des eaux souterraines de l'Albanie. Acta Zoologica Bulgarica, 49: 64-67",1997,"Literature: F. Stoch","NULL"
116,"Cyclopoida","Cyclopidae","Cyclopinae","Graeteriella","Graeteriella","unisetigera","NULL","Graeteriella (Graeteriella) unisetigera","(Graeter, 1908)","Graeteriella (Graeteriella) unisetigera (Graeter, 1908)","1908","Germany","Site scanned from map","NULL","NULL",7.784,48.051,"EPSG: 4326",4155735.9274095213,2773303.5421693856,"3 km","Mattia Di Cicco","Ronneberger D. (1975) Zur Kenntnis der Grundwasserfauna des Saale-Einzugsgebietes (Thuringen). Limnologica, 9(3): 323-419",1975,"Literature: F. Malard","NULL"
120,"Harpacticoida","Parastenocarididae","Parastenocaridinae","Horstkurtcaris","NULL","nolli","nolli","Horstkurtcaris nolli nolli","(Kiefer, 1938)","Horstkurtcaris nolli nolli (Kiefer, 1938)","1938","Austria","Site scanned from map","NULL","NULL",15.562,47.998,"EPSG: 4326",4735854.50706091,2780557.270047805,"3 km","Mattia Di Cicco","Ronneberger D. (1975) Zur Kenntnis der Grundwasserfauna des Saale-Einzugsgebietes (Thuringen). Limnologica, 9(3): 323-419",1975,"Literature: F. Malard","NULL"
8,"Harpacticoida","Parastenocarididae","Parastenocaridinae","Parastenocaris","NULL","sp.","NULL","Parastenocaris sp.","NULL","NULL","NULL","Albania","Mati river, Milot, Lezhës district","hyporheic habitat","Aquifer in unconsolidated sediments:hyporeic",19.682,41.683,"EPSG: 4326",5127741.484156271,2116319.022818612,"2 km","Francesco Cerasoli","Apostolov A. (2004) Harpacticoida (Crustacea: Copepoda) des eaux souterraines de l'Albanie. Historia naturalis bulgarica, 16: 69-72",2004,"Literature: D. Galassi","NULL"
9,"Cyclopoida","Cyclopidae","Cyclopinae","Acanthocyclops","NULL","gmeineri","NULL","Acanthocyclops gmeineri","Pospisil, 1989","Acanthocyclops gmeineri Pospisil, 1989","1989","Austria","Wien-Umgebung, Wien, Lobau site B","unconsolidated","Unclear",16.539,48.164,"EPSG: 4326",4806934.758475045,2804915.490623136,"0.5 km","Francesco Cerasoli","Pospisil P. (1994) The groundwater fauna of a Danube aquifer in the Lobau wetland in Vienna, Austria. In Gibert J., Danielopol D.L. and Stanford J.A. (eds), Groundwater Ecology. Academic Press, New York, 347-366",1994,"Literature: F. Stoch","NULL"
10,"Cyclopoida","Cyclopidae","Cyclopinae","Acanthocyclops","NULL","gmeineri","NULL","Acanthocyclops gmeineri","Pospisil, 1989","Acanthocyclops gmeineri Pospisil, 1989","1989","Austria","Groundwater at Regelsbrunn","Groundwater","NULL",16.781,48.111,"EPSG: 4326",4825388.179573944,2800667.5969769876,"1 km","Francesco Cerasoli","Gaviria S. (1998) Checklist and distribution of the free-living copepods (Arthropoda: Crustacea) from Austria. Ann. Naturhist. Mus. Wien, 100B: 539-594",1998,"Literature: F. Stoch","NULL"
