Modif_taxonomy_FM	ID	order	family	subfamily	genus	subgenus	specificEpithet	infraspecificEpithet	scientificName	scientificNameAuthorship	acceptedNameUsage	namePublishedInYear	country	Locality	locationRemarks	habitat	decimalLongitude	decimalLatitude	geodeticDatum	Easting_EPSG3035	Northing_EPSG3035	Coord.Uncertainty	Coord.Validator	associatedReferences	PublicationYear	source	researchGroup	Habitat_Florian	Access_Florian	order_FM	family_FM	subfamily_FM	genus_FM	subgenus_FM	specificEpithet_FM	infraspecificEpithet_FM	scientificName_FM	FM_dwc_identificationQualifier	FM_identification_addendum	scientificNameAuthorship_FM	acceptedNameUsage_FM	namePublishedInYear_FM
	1	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	clandestinus	NULL	Diacyclops clandestinus	(Kiefer, 1926)	Diacyclops clandestinus (Kiefer, 1926)	1926	Albania	Mati river, Milot, Lezhâs district	hyporheic	Aquifer in unconsolidated sediments:hyporeic	19.682	41.683	EPSG: 4326	5127741.484	2116319.023	2 km	Francesco Cerasoli	Pandourski I. (1997) Cyclopides (Crustacea Copepoda) des eaux souterraines de l'Albanie. Acta Zoologica Bulgarica, 49: 64-67	1997	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	clandestinus	NULL	Diacyclops clandestinus			(Kiefer, 1926)	Diacyclops clandestinus (Kiefer, 1926)	1926
	2	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	cosanus	NULL	Diacyclops cosanus	Stella & Salvatori, 1954	Diacyclops cosanus Stella & Salvatori, 1954	1954	Albania	Mati river, Milot, Lezhâs district	hyporheic	Aquifer in unconsolidated sediments:hyporeic	19.682	41.683	EPSG: 4326	5127741.484	2116319.023	2 km	Francesco Cerasoli	Pandourski I. (1997) Cyclopides (Crustacea Copepoda) des eaux souterraines de l'Albanie. Acta Zoologica Bulgarica, 49: 64-67	1997	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	cosanus	NULL	Diacyclops cosanus			Stella & Salvatori, 1954	Diacyclops cosanus Stella & Salvatori, 1954	1954
	3	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	paolae	NULL	Diacyclops paolae	Pesce & Galassi, 1987	Diacyclops paolae Pesce & Galassi, 1987	1987	Albania	Schkodra lake, sandy beach, 2 km drom Montenegro border	hyporheic habitat	NULL	19.358	42.221	EPSG: 4326	5094051.13	2172118.472	1 km	Francesco Cerasoli	Pandourski I. (1997) Cyclopides (Crustacea Copepoda) des eaux souterraines de l'Albanie. Acta Zoologica Bulgarica, 49: 64-67	1997	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone, Lake	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	paolae	NULL	Diacyclops paolae			Pesce & Galassi, 1987	Diacyclops paolae Pesce & Galassi, 1987	1987
yes	4	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	sp.	NULL	Diacyclops sp. group languidoides	NULL	NULL	NULL	Albania	Schkodra lake, sandy beach, 2 km drom Montenegro border	hyporheic habitat	NULL	19.358	42.221	EPSG: 4326	5094051.13	2172118.472	1 km	Francesco Cerasoli	Pandourski I. (1997) Cyclopides (Crustacea Copepoda) des eaux souterraines de l'Albanie. Acta Zoologica Bulgarica, 49: 64-67	1997	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone, Lake	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL		NULL	Diacyclops sp.		group languidoides	NULL	NULL	NULL
yes	5	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	sp.	NULL	Diacyclops sp. group languidoides	NULL	NULL	NULL	Albania	Krevenices cave, Dajá village, Scutari district	cave, subterranean lakes	Karst:saturated	19.406	41.993	EPSG: 4326	5100917.749	2147519.848	2 km	Francesco Cerasoli	Pandourski I. (1997) Cyclopides (Crustacea Copepoda) des eaux souterraines de l'Albanie. Acta Zoologica Bulgarica, 49: 64-67	1997	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave, Lake	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL		NULL	Diacyclops sp.		group languidoides	NULL	NULL	NULL
	116	Cyclopoida	Cyclopidae	Cyclopinae	Graeteriella	Graeteriella	unisetigera	NULL	Graeteriella (Graeteriella) unisetigera	(Graeter, 1908)	Graeteriella (Graeteriella) unisetigera (Graeter, 1908)	1908	Germany	Site scanned from map	NULL	NULL	7.784	48.051	EPSG: 4326	4155735.927	2773303.542	3 km	Mattia Di Cicco	Ronneberger D. (1975) Zur Kenntnis der Grundwasserfauna des Saale-Einzugsgebietes (Thuringen). Limnologica, 9(3): 323-419	1975	Literature: F. Malard	NULL	Aquatic, Freshwater, Subsurface		Cyclopoida	Cyclopidae	Cyclopinae	Graeteriella	Graeteriella	unisetigera	NULL	Graeteriella (Graeteriella) unisetigera			(Graeter, 1908)	Graeteriella (Graeteriella) unisetigera (Graeter, 1908)	1908
	120	Harpacticoida	Parastenocarididae	Parastenocaridinae	Horstkurtcaris	NULL	nolli	nolli	Horstkurtcaris nolli nolli	(Kiefer, 1938)	Horstkurtcaris nolli nolli (Kiefer, 1938)	1938	Austria	Site scanned from map	NULL	NULL	15.562	47.998	EPSG: 4326	4735854.507	2780557.27	3 km	Mattia Di Cicco	Ronneberger D. (1975) Zur Kenntnis der Grundwasserfauna des Saale-Einzugsgebietes (Thuringen). Limnologica, 9(3): 323-419	1975	Literature: F. Malard	NULL	Aquatic, Freshwater, Subsurface		Harpacticoida	Parastenocarididae	Parastenocaridinae	Horstkurtcaris	NULL	nolli	nolli	Horstkurtcaris nolli nolli			(Kiefer, 1938)	Horstkurtcaris nolli nolli (Kiefer, 1938)	1938
yes	8	Harpacticoida	Parastenocarididae	Parastenocaridinae	Parastenocaris	NULL	sp.	NULL	Parastenocaris sp.	NULL	NULL	NULL	Albania	Mati river, Milot, Lezhâs district	hyporheic habitat	Aquifer in unconsolidated sediments:hyporeic	19.682	41.683	EPSG: 4326	5127741.484	2116319.023	2 km	Francesco Cerasoli	Apostolov A. (2004) Harpacticoida (Crustacea: Copepoda) des eaux souterraines de l'Albanie. Historia naturalis bulgarica, 16: 69-72	2004	Literature: D. Galassi	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone	Harpacticoida	Parastenocarididae	Parastenocaridinae	Parastenocaris	NULL		NULL	Parastenocaris sp.			NULL	NULL	NULL
	9	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	gmeineri	NULL	Acanthocyclops gmeineri	Pospisil, 1989	Acanthocyclops gmeineri Pospisil, 1989	1989	Austria	Wien-Umgebung, Wien, Lobau site B	unconsolidated	Unclear	16.539	48.164	EPSG: 4326	4806934.758	2804915.491	0.5 km	Francesco Cerasoli	Pospisil P. (1994) The groundwater fauna of a Danube aquifer in the Lobau wetland in Vienna, Austria. In Gibert J., Danielopol D.L. and Stanford J.A. (eds), Groundwater Ecology. Academic Press, New York, 347-366	1994	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Unconsolidated sediment	Well	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	gmeineri	NULL	Acanthocyclops gmeineri			Pospisil, 1989	Acanthocyclops gmeineri Pospisil, 1989	1989
	10	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	gmeineri	NULL	Acanthocyclops gmeineri	Pospisil, 1989	Acanthocyclops gmeineri Pospisil, 1989	1989	Austria	Groundwater at Regelsbrunn	Groundwater	NULL	16.781	48.111	EPSG: 4326	4825388.18	2800667.597	1 km	Francesco Cerasoli	Gaviria S. (1998) Checklist and distribution of the free-living copepods (Arthropoda: Crustacea) from Austria. Ann. Naturhist. Mus. Wien, 100B: 539-594	1998	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer		Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	gmeineri	NULL	Acanthocyclops gmeineri			Pospisil, 1989	Acanthocyclops gmeineri Pospisil, 1989	1989
