Locality	Locality_fixed
Well in Albrechtsfeld, Sankt Andr√§ am Zicksee	Well in Albrechtsfeld, Sankt Andrä am Zicksee
St Cirgue -SBR- hyporh�ique de TARN'	St Cirgue -SBR- hyporhéique de TARN'
Gouffre de L�pigneux  - Hostiaz	Gouffre de Lépigneux - Hostiaz
Meurthe-et-Moselle Province, 54-Norroy-les-Pont-�-Mousson, la Moselle (sandy shore)	Meurthe-et-Moselle Province, 54-Norroy-les-Pont-à-Mousson, la Moselle (sandy shore)
T?ebuvka River - Kozov village - St?edomoravsk√° Soustava	Třebůvka River - Kozov village - Středomoravská Soustava
Opava River - He?manovice Municipality - ?esk√° Vyso?ina	Opava River - Heřmanovice Municipality - Česká Vysočina
Vl√°ra River - Bylnice village - White Carpathians	Vlára River - Bylnice village - White Carpathians
Keprnický brook - ?eská Vysočina	Keprnický brook - Česká Vysočina
Lede? nad Sázavou town, Šeptouchovská village, Vysočina Region,  cave in Septouchovska	Ledeč nad Sázavou town, Šeptouchovská village, Vysočina Region, cave in Septouchovska
Kotelny brook - ?esk√° Vyso?ina	Kotelny brook - Česká Vysočina
Opavice river, Albrechtice commune, Karvin√° District	Opavice river, Albrechtice commune, Karviná District
Drain annexe � la Source Sainte Catherine	Drain annexe à la Source Sainte Catherine
Ari�ge Province, Castillon en Couserans, Le Lez (river)	Ariège Province, Castillon en Couserans, Le Lez (river)
Caborne du Boeuf - St Hymeti�re	Caborne du Boeuf - St Hymetière
Pyr�n�es-Atlantiques Province, Larrau/Lecumberry, , St Jean Pied de Port, Chalet Pedro, Ruisseau d'Iraty (river),	Pyrénées-Atlantiques Province, Larrau/Lecumberry, , St Jean Pied de Port, Chalet Pedro, Ruisseau d'Iraty (river),
Labastide, Petite grotte de - Labastide,  High Pyr�n�es	Labastide, Petite grotte de - Labastide, High Pyrénées
Grotte de W�rre	Grotte de Wérre
Source captage  - F�tigny (Buse)	Source captage - Fétigny (Buse)
Isre Province, 38-Anthon -L™ne du M�ant (P. Marmonier, Station 3B, -20 cm, 15/06/0995)'	Isère Province, 38-Anthon - Lône du Méant (P. Marmonier, Station 3B, -20 cm, 15/06/0995)'
B�ze, grotte de	Bèze, grotte de
le M�andre sans nom, JUR077 (Jura_PASCALIS)	le Méandre sans nom, JUR077 (Jura_PASCALIS)
Fontaine de Soiriat - Hautecourt Roman�che	Fontaine de Soiriat - Hautecourt-Romanèche
Sare, grotte de - Sare,  Pyr�n�es-Atlantiques	Sare, grotte de - Sare, Pyrénées-Atlantiques
Corb�re les Cabanes puits municipal	Corbère les Cabanes puits municipal
M�andre de St Andr�, JUR029 (Jura_PASCALIS)	Méandre de St André, JUR029 (Jura_PASCALIS)
Nistos, Source de - 65-Nistos, Hautes-Pyr�n�es	Nistos, Source de - 65-Nistos, Hautes-Pyrénées
Aisne Rocher � Fr�ne	Aisne Rocher à Frêne
P�rignat, JUR123 (Jura_PASCALIS)	Pérignat, JUR123 (Jura_PASCALIS)
