"ID"	"SourceDatabase"	"OwnerOfSourceDatabase"	"TaxonID"	"TaxonClassis"	"TaxonOrdo"	"TaxonFamilia"	"TaxonGenus"	"TaxonSpecies"	"Author&Year"	"Species_source"	"Species_valid"	"TaxonRank"	"Lineage"	"Date"	"Surveyers/legit"	"LatitudeY"	"LongitudeX"	"GeoreferenceProtocol"	"Altitude"	"AltuitudeDetermination"	"LocalityID"	"LocalityName"	"LocalityMunicipality"	"LocalityProvince"	"LocalityRegion"	"LocalityCountry"	"HabitatType"	"HabitatType_syncronized"	"TaxonEcology"	"Reference"	"SourceType"	"Rights"	"Input.into.DB.-.name"
1	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I1, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,5888889	10,9069444	"WGS84"	295	"provided"		"Fumane Ca' del Gottolo spring"	"Manune"	"Lessinian Mountains"	"Lessinian Mountains"	"Italy"	"spring"	"Spring"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
2	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,573	10,899	"WGS84"				"Marano di Valpolicella, "	"Carazzole"	"Lessinian Mountains"		"Italy"	"Hyporheic"	"Interstitial - Hyporheic zone"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
3	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,5803333	10,9016667	"WGS84"				"Marano di Valpolicella"	"Carazzole"	"Lessinian Mountains"		"Italy"	"Hyporheic"	"Interstitial - Hyporheic zone"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
5	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,6298333	10,961	"WGS84"				"Sant'Anna D'Alfaedo, "	"Cescatto"	"Lessinian Mountains"		"Italy"	"Hyporheic"	"Interstitial - Hyporheic zone"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
6	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,5936667	10,9851667	"WGS84"				"Grezzana-Bellori, "	"Bellori"	"Lessinian Mountains"		"Italy"	"Hyporheic"	"Interstitial - Hyporheic zone"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
7	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,5925	10,9852778	"WGS84"				"Grezzana-Bellori, "	"Bellori"	"Lessinian Mountains"		"Italy"	"Hyporheic"	"Interstitial - Hyporheic zone"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
8	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,5331667	11,045	"WGS84"	425	"provided"		"Grezzana-La Colombara spring "	"Romagnano"	"Lessinian Mountains"	"Lessinian Mountains"	"Italy"	"spring"	"Spring"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
9	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,6174326	11,1990451	"WGS84"	640	"provided"		"Buso del Slonse (1425 V/VR), Ghieve"	"Crespadoro"	"Lessinian Mountains"	"Lessinian Mountains"	"Italy"	"spring"	"Spring"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
10	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,6132668	11,2143243	"WGS84"	565	"provided"		"Buso della Volpe (1426 V/VR), Covale"	"Crespadoro"	"Lessinian Mountains"	"Lessinian Mountains"	"Italy"	"spring"	"Spring"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
11	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,615	10,9055	"WGS84"				"Fumane-Molina, "	"Molina"	"Lessinian Mountains"		"Italy"	"Hyporheic"	"Interstitial - Hyporheic zone"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
