ID	data_repository	class	order	family	genus	species	authorship	verbatim_identification	taxon_name	taxon_rank	sampling_date	latitude	longitude	coord_precision	Altitude	LocalityName	site_comments	habitat	access_points	country	MeasurementOrFact	SourceType	Rights	Input.into.DB.-.name
1059	GBIF	Ostracoda	Podocopida	Entocytheridae	Sphaeromicola	stammeri	Klie, 1930	Sphaeromicola stammeri Klie, 1930	Sphaeromicola stammeri Klie, 1930	SPECIES		42,781285	17,870505			the cave of “Vjetrenica pecina. a Zavala. Popovopolje”	About 25 km NW of Dubrovnik	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Bosnia and Herzegovina	stygobiont	OCCURRENCE		
1060	GBIF	Ostracoda	Podocopida	Entocytheridae	Sphaeromicola	stammeri	Klie, 1930	Sphaeromicola stammeri Klie, 1930	Sphaeromicola stammeri Klie, 1930	SPECIES		45,432986	11,515582			Caves of Monti Berici	about 10 km S of Vicenza	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Italy	stygobiont	OCCURRENCE		
1061	GBIF	Ostracoda	Podocopida	Entocytheridae	Sphaeromicola	stammeri	Klie, 1930	Sphaeromicola stammeri Klie, 1930	Sphaeromicola stammeri Klie, 1930	SPECIES		45,724913	14,468608			Krizna jama (=Kreuzberghohle), near Loz		Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Slovenia	stygobiont	OCCURRENCE		
1062	GBIF	Ostracoda	Podocopida	Entocytheridae	Sphaeromicola	stammeri	Klie, 1930	Sphaeromicola stammeri Klie, 1930	Sphaeromicola stammeri Klie, 1930	SPECIES		45,830018	14,250702			Logarcek (=Graf Falkenhayn-Huhle) near Planina	N of Postojna	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Slovenia	stygobiont	OCCURRENCE		
1063	GBIF	Ostracoda	Podocopida	Entocytheridae	Sphaeromicola	stammeri	Klie, 1930	Sphaeromicola stammeri Klie, 1930	Sphaeromicola stammeri Klie, 1930	SPECIES		45,839698	14,686856			Podpeska jama (=Podpec-Höhle) at Podpec	2 km de la gare de Dobre-Polje. between Ljubljana and Kocevje	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Slovenia	stygobiont	OCCURRENCE		
1064	GBIF	Ostracoda	Podocopida	Entocytheridae	Sphaeromicola	topsenti	Paris, 1916	Sphaeromicola topsenti Paris, 1916	Sphaeromicola topsenti Paris, 1916	SPECIES		45,494427	0,499653			Grotte de Beaussac, Canton de Mareuile-sur-Belle	à 30 km S d'Yvrac-Malleyraut. about 35 km NW of Périgeux	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	France	stygobiont	OCCURRENCE		
1065	GBIF	Ostracoda	Podocopida	Entocytheridae	Sphaeromicola	topsenti	Paris, 1916	Sphaeromicola topsenti Paris, 1916	Sphaeromicola topsenti Paris, 1916	SPECIES		47,646341	6,280716			la résurgence de Veuvey à Calmoutier. 	canton de Noroyle-Bourg. en aval de l'orifice. dans de trous d¡eau di canon	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	France	stygobiont	OCCURRENCE		
1066	GBIF	Ostracoda	Podocopida	Entocytheridae	Sphaeromicola	topsenti	Paris, 1916	Sphaeromicola topsenti Paris, 1916	Sphaeromicola topsenti Paris, 1916	SPECIES		47,532627	5,563238			Rivière souterraine d'Oyrières. canton d'Autrey-les Gray		Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	France	stygobiont	OCCURRENCE		
1067	GBIF	Ostracoda	Podocopida	Cyprididae	Psychrodromus	fontinalis	Wolf, 1920	Psychrodromus fontinalis (Wolf, 1919)	Psychrodromus fontinalis (Wolf, 1919)	SPECIES	21/06/2011	47,454399	10,9841		978	Spring near Eibseenwestufer		Aquatic, Freshwater, Subsurface	Spring	Germany	stygophile	PRESERVED_SPECIMEN	Dr. Renate Matzke-Karasz	Dr. Renate Matzke-Karasz
1068	GBIF	Ostracoda	Podocopida	Candonidae	Fabaeformiscandona	breuili	Paris, 1920	Fabaeformiscandona breuili (Paris, 1920)	Fabaeformiscandona breuili (Paris, 1920)	SPECIES		44,651944	10,083333			Fonte Lupo - Rio Lusore		Aquatic, Freshwater, Subsurface, Aquifer	Spring	Italy	stygobiont	OCCURRENCE	Rossetti, G., K. Martens, C. Meisch, S. Tavernelli & V. Pieri	
