ID	datasetName	informationWithheld	TaxonID	class	order	family	genus	species	scientificNameAuthorship	verbatimIdentification	scientificName	taxonRank	Lineage	dateIdentified	identifiedBy	decimalLatitude	decimalLongitude	geodeticDatum	elevationInMeters	verticalDatum	locationID	locality	locationRemarks	habitat	access_points	municipality	stateProvince	region	country	MeasurementOrFact	references	basisOfRecord	rightsHolder	Input.into.DB.-.name
1	European Groundwater Crustacea Database	Marmonier Pierre		Ostracoda	Podocopida	Candonidae			Kaufmann, 1900	Candonidae gen. n. sp. I1, 2006	Candoninae Kaufmann, 1900	FAMILY		2004		45,588889	10,906944	WGS84	295	provided		Fumane Ca' del Gottolo spring	spring	Aquatic, Freshwater, Subsurface, Aquifer	Spring	Manune	Lessinian Mountains	Lessinian Mountains	Italy	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
2	European Groundwater Crustacea Database	Marmonier Pierre		Ostracoda	Podocopida	Candonidae			Kaufmann, 1900	Candonidae gen. n. sp. I2, 2006	Candoninae Kaufmann, 1900	FAMILY		2004		45,573	10,899	WGS84	257	calculated		Marano di Valpolicella, 	Hyporheic	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone	Carazzole	Lessinian Mountains		Italy	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
3	European Groundwater Crustacea Database	Marmonier Pierre		Ostracoda	Podocopida	Candonidae			Kaufmann, 1900	Candonidae gen. n. sp. I2, 2006	Candoninae Kaufmann, 1900	FAMILY		2004		45,580333	10,901667	WGS84	279	calculated		Marano di Valpolicella	Hyporheic	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone	Carazzole	Lessinian Mountains		Italy	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
4	European Groundwater Crustacea Database	Marmonier Pierre		Ostracoda	Podocopida	Candonidae			Kaufmann, 1900	Candonidae gen. n. sp. I2, 2006	Candoninae Kaufmann, 1900	FAMILY		2004		45,629833	10,961	WGS84	708	calculated		Sant'Anna D'Alfaedo, 	Hyporheic	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone	Cescatto	Lessinian Mountains		Italy	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
5	European Groundwater Crustacea Database	Marmonier Pierre		Ostracoda	Podocopida	Candonidae			Kaufmann, 1900	Candonidae gen. n. sp. I2, 2006	Candoninae Kaufmann, 1900	FAMILY		2004		45,593667	10,985167	WGS84	366	calculated		Grezzana-Bellori, 	Hyporheic	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone	Bellori	Lessinian Mountains		Italy	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
6	European Groundwater Crustacea Database	Marmonier Pierre		Ostracoda	Podocopida	Candonidae			Kaufmann, 1900	Candonidae gen. n. sp. I2, 2006	Candoninae Kaufmann, 1900	FAMILY		2004		45,5925	10,985278	WGS84	366	calculated		Grezzana-Bellori, 	Hyporheic	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone	Bellori	Lessinian Mountains		Italy	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
7	European Groundwater Crustacea Database	Marmonier Pierre		Ostracoda	Podocopida	Candonidae			Kaufmann, 1900	Candonidae gen. n. sp. I2, 2006	Candoninae Kaufmann, 1900	FAMILY		2004		45,533167	11,045	WGS84	425	provided		Grezzana-La Colombara spring 	spring	Aquatic, Freshwater, Subsurface, Aquifer	Spring	Romagnano	Lessinian Mountains	Lessinian Mountains	Italy	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
8	European Groundwater Crustacea Database	Marmonier Pierre		Ostracoda	Podocopida	Candonidae			Kaufmann, 1900	Candonidae gen. n. sp. I2, 2006	Candoninae Kaufmann, 1900	FAMILY		2004		45,617433	11,199045	WGS84	640	provided		Buso del Slonse (1425 V/VR), Ghieve	spring	Aquatic, Freshwater, Subsurface, Aquifer	Spring	Crespadoro	Lessinian Mountains	Lessinian Mountains	Italy	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
9	European Groundwater Crustacea Database	Marmonier Pierre		Ostracoda	Podocopida	Candonidae			Kaufmann, 1900	Candonidae gen. n. sp. I2, 2006	Candoninae Kaufmann, 1900	FAMILY		2004		45,613267	11,214324	WGS84	565	provided		Buso della Volpe (1426 V/VR), Covale	spring	Aquatic, Freshwater, Subsurface, Aquifer	Spring	Crespadoro	Lessinian Mountains	Lessinian Mountains	Italy	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
10	European Groundwater Crustacea Database	Marmonier Pierre		Ostracoda	Podocopida	Candonidae			Kaufmann, 1900	Candonidae gen. n. sp. I2, 2006	Candoninae Kaufmann, 1900	FAMILY		2004		45,615	10,9055	WGS84	673	calculated		Fumane-Molina, 	Hyporheic	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone	Molina	Lessinian Mountains		Italy	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
