ID	datasetName	informationWithheld	TaxonID	class	order	family	genus	species	scientificNameAuthorship	verbatimIdentification	scientificName	taxonRank	Lineage	dateIdentified	identifiedBy	decimalLatitude	decimalLongitude	geodeticDatum	elevationInMeters	verticalDatum	locationID	locality	municipality	stateProvince	region	country	locationRemarks	habitat	MeasurementOrFact	references	basisOfRecord	rightsHolder	Input.into.DB.-.name
585	European Groundwater Crustacea Database	Marmonier Pierre	NA	Ostracoda	Podocopida	Candonidae	Mixtacandona	NA	Klie, 1938	Mixtacandona sp. Esp1, 1982	Mixtacandona Klie, 1938	GENUS	NA	1982	NA	NA	NA	NA	NA	NA	NA	Mallorca	Mallorca	NA	Balearic islands	Spain	Cave, spring, Hyporheic zone	NA	stygobiont	Gines, A. (1982) Inventario de especies Cavernicolas de las Islas Baleares. Endins, 9, 57-75	Literature: F. Malard	NA	Marmonier P.
1110	Revision of Recent and fossil Mixtacandona from Italy, with description of a new species	Ilaria Mazzini	NA	Ostracoda	Podocopida	Candonidae	Mixtacandona	talianae	Gliozzi & Mazzini, 1998	Mixtacandona talianae Gliozzi & Mazzini, 1998	Mixtacandona talianae Gliozzi & Mazzini, 1998	SPECIES	NA	1998	D. Taliana	NA	NA	NA	NA	NA	NA	Grotta del Lago	Triponzo	Umbria	central Italy	Italy	cave	Cave	stygobiont	Gliozzi, E., & Mazzini, I. (1998). Mixtacandona talianae n. sp. (Crustacea, Ostracoda) from the Holocene of Grotta del Lago (Umbria, Central Italy). Micropaleontology, 44(4), 441–446. https://doi.org/10.2307/1486044	Literature	NA	Živa Vehovar
1112	Romanian Ostracoda Database	Traian Brad	NA	Ostracoda	Podocopida	Candonidae	Cryptocandona	kieferi dobrogensis	Namiotko et al., 2005	Cryptocandona dobrogensis Namiotko, Marmonier & Danielopol, 2005	Cryptocandona kieferi dobrogensis Namiotko et al., 2005	SUBSPECIES	NA	NA	NA	NA	NA	NA	NA	NA	NA	Dobrogea	NA	NA	NA	Romania	NA	NA	stygobiont	NA	NA	NA	Živa Vehovar
1114	Romanian Ostracoda Database	Traian Brad	NA	Ostracoda	Podocopida	Candonidae	Cryptocandona	matris	Sywula, 1976	Cryptocandona matris (Sywula, 1976)	Cryptocandona matris (Sywula, 1976)	SPECIES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Romania	NA	NA	stygobiont	NA	NA	NA	Živa Vehovar
1116	Romanian Ostracoda Database	Traian Brad	NA	Ostracoda	Podocopida	Candonidae	Cryptocandona	vavrai	Kaufmann, 1900	Cryptocandona vavrai Kaufmann, 1900	Cryptocandona vavrai Kaufmann, 1900	SPECIES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Romania	NA	NA	stygophile	NA	NA	NA	Živa Vehovar
1118	Romanian Ostracoda Database	Traian Brad	NA	Ostracoda	Podocopida	Candonidae	Fabaeformiscandona	brisiaca	Klie, 1938	Fabaeformiscandona brisiaca (Klie, 1938)	Fabaeformiscandona brisiaca (Klie, 1938)	SPECIES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Romania	NA	NA	stygobiont	NA	NA	NA	Živa Vehovar
1120	Romanian Ostracoda Database	Traian Brad	NA	Ostracoda	Podocopida	Candonidae	Mixtacandona	botosaneaui	Danielopol, 1973	Mixtacandona botosaneanui Danielopol, 1978	Mixtacandona botosaneanui Danielopol, 1973	SPECIES	NA	NA	NA	NA	NA	NA	NA	NA	2214/5	Zamonița Cave	NA	NA	NA	Romania	cave	Cave	stygobiont	NA	NA	NA	Živa Vehovar
1130	Romanian Ostracoda Database	Traian Brad	NA	Ostracoda	Podocopida	Candonidae	Typhlocypris	serbani	Danielopol, 1982	Typhlocypris serbani (Danielopol, 1982)	Typhlocypris serbani (Danielopol, 1982)	SPECIES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Romania	NA	NA	stygobiont	NA	NA	NA	Živa Vehovar
1131	Romanian Ostracoda Database	Traian Brad	NA	Ostracoda	Podocopida	Candonidae	Typhlocypris	transylvanica	Iepure et al., 2007	Typhlocypris transylvanica Iepure, Namiotko & Danielopol, 2007	Typhlocypris transylvanica (Iepure et al., 2007)	SPECIES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Romania	NA	NA	stygobiont	NA	NA	NA	Živa Vehovar
1132	Scotland Ostracoda	Lee Knight	NA	Ostracoda	Podocopida	Candonidae	NA	NA	Kaufmann, 1900	Candoninae	Candoninae Kaufmann, 1900	SUBFAMILY	NA	19.04.2018	NA	NA	NA	NA	NA	NA	NA	Lewis 4: Well at Ceann Tarabhaigh NB 2377 1729	Kintarvie-Ceann Tarabhaigh	Outher Hebrides	Scotland	United Kingdom	well	Well	stygobiont	NA	NA	Lee Knight	Živa Vehovar
