ID	datasetName	informationWithheld	TaxonID	class	order	family	genus	species	scientificNameAuthorship	verbatimIdentification	scientificName	Classified	taxonRank	Lineage	dateIdentified	identifiedBy	decimalLatitude	decimalLongitude	geodeticDatum	elevationInMeters	verticalDatum	locationID	locality	municipality	stateProvince	region	country	locationRemarks	habitat	MeasurementOrFact	references	basisOfRecord	rightsHolder	Input.into.DB.-.name
1	European Groundwater Crustacea Database	Marmonier Pierre	NA	Ostracoda	Podocopida	Candonidae	gen. I1	n. sp. I1		Candonidae gen. n. sp. I1, 2006	Candonidae gen. I1 n. sp. I1		SPECIES		2004	NA	45,588889	10,906944	WGS84	295	provided	NA	Fumane Ca' del Gottolo spring	Manune	Lessinian Mountains	Lessinian Mountains	Italy	spring	Spring	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
2	European Groundwater Crustacea Database	Marmonier Pierre	NA	Ostracoda	Podocopida	Candonidae	gen. I2	n. sp. I2		Candonidae gen. n. sp. I2, 2006	Candonidae gen. I2 n. sp. I2		SPECIES		2004	NA	45,573	10,899	WGS84	257	calculated	NA	Marano di Valpolicella, 	Carazzole	Lessinian Mountains	NA	Italy	Hyporheic	Interstitial - Hyporheic zone	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
3	European Groundwater Crustacea Database	Marmonier Pierre	NA	Ostracoda	Podocopida	Candonidae	gen. I2	n. sp. I2		Candonidae gen. n. sp. I2, 2006	Candonidae gen. I2 n. sp. I2		SPECIES		2004	NA	45,580333	10,901667	WGS84	279	calculated	NA	Marano di Valpolicella	Carazzole	Lessinian Mountains	NA	Italy	Hyporheic	Interstitial - Hyporheic zone	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
4	European Groundwater Crustacea Database	Marmonier Pierre	NA	Ostracoda	Podocopida	Candonidae	gen. I2	n. sp. I2		Candonidae gen. n. sp. I2, 2006	Candonidae gen. I2 n. sp. I2		SPECIES		2004	NA	45,629833	10,961	WGS84	708	calculated	NA	Sant'Anna D'Alfaedo, 	Cescatto	Lessinian Mountains	NA	Italy	Hyporheic	Interstitial - Hyporheic zone	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
5	European Groundwater Crustacea Database	Marmonier Pierre	NA	Ostracoda	Podocopida	Candonidae	gen. I2	n. sp. I2		Candonidae gen. n. sp. I2, 2006	Candonidae gen. I2 n. sp. I2		SPECIES		2004	NA	45,593667	10,985167	WGS84	366	calculated	NA	Grezzana-Bellori, 	Bellori	Lessinian Mountains	NA	Italy	Hyporheic	Interstitial - Hyporheic zone	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
6	European Groundwater Crustacea Database	Marmonier Pierre	NA	Ostracoda	Podocopida	Candonidae	gen. I2	n. sp. I2		Candonidae gen. n. sp. I2, 2006	Candonidae gen. I2 n. sp. I2		SPECIES		2004	NA	45,5925	10,985278	WGS84	366	calculated	NA	Grezzana-Bellori, 	Bellori	Lessinian Mountains	NA	Italy	Hyporheic	Interstitial - Hyporheic zone	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
7	European Groundwater Crustacea Database	Marmonier Pierre	NA	Ostracoda	Podocopida	Candonidae	gen. I2	n. sp. I2		Candonidae gen. n. sp. I2, 2006	Candonidae gen. I2 n. sp. I2		SPECIES		2004	NA	45,533167	11,045	WGS84	425	provided	NA	Grezzana-La Colombara spring 	Romagnano	Lessinian Mountains	Lessinian Mountains	Italy	spring	Spring	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
8	European Groundwater Crustacea Database	Marmonier Pierre	NA	Ostracoda	Podocopida	Candonidae	gen. I2	n. sp. I2		Candonidae gen. n. sp. I2, 2006	Candonidae gen. I2 n. sp. I2		SPECIES		2004	NA	45,617433	11,199045	WGS84	640	provided	NA	Buso del Slonse (1425 V/VR), Ghieve	Crespadoro	Lessinian Mountains	Lessinian Mountains	Italy	spring	Spring	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
9	European Groundwater Crustacea Database	Marmonier Pierre	NA	Ostracoda	Podocopida	Candonidae	gen. I2	n. sp. I2		Candonidae gen. n. sp. I2, 2006	Candonidae gen. I2 n. sp. I2		SPECIES		2004	NA	45,613267	11,214324	WGS84	565	provided	NA	Buso della Volpe (1426 V/VR), Covale	Crespadoro	Lessinian Mountains	Lessinian Mountains	Italy	spring	Spring	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
10	European Groundwater Crustacea Database	Marmonier Pierre	NA	Ostracoda	Podocopida	Candonidae	gen. I2	n. sp. I2		Candonidae gen. n. sp. I2, 2006	Candonidae gen. I2 n. sp. I2		SPECIES		2004	NA	45,615	10,9055	WGS84	673	calculated	NA	Fumane-Molina, 	Molina	Lessinian Mountains	NA	Italy	Hyporheic	Interstitial - Hyporheic zone	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
