row_number	site_code	site_name	latitude	longitude	coord_precision	altitude	country	locality	site_comments	sampling_date	sampling_participants	sampling_methods	sampling_fixatives	sampling_target	habitat	access_points	sampling_comments	sampling_id	taxon_name	unclassified	taxon_rank	family	genus	specific_epithet	tax_id_confer	tax_id_addendum	identified_on_date	identified_by	specimen_quantity	content_description	type_status	occurrence_comments	occurrence_id	data_repository	collection	pub_DOI	pub_authors	pub_year	pub_title	pub_journal	pub_verbatim	gene	seq_specimen_identifier	accession_number	MOTU	sequence_id	seq_comments
686	NA	Jaskinia Łabajowa (J.Olk.I-07.46)	50.19056	19.7725	NA	NA	POL	Jerzmanowice	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Eratigena atrica	NA	species	Agelenidae	Eratigena	atrica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3950	NA	Jaskinia Łabajowa (J.Olk.I-07.46)	50.19056	19.7725	NA	NA	POL	Jerzmanowice	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Nesticus cellulanus	NA	species	Nesticidae	Nesticus	cellulanus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5387	NA	Jaskinia Łabajowa (J.Olk.I-07.46)	50.19056	19.7725	NA	NA	POL	Jerzmanowice	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Porrhomma convexum	NA	species	Linyphiidae	Porrhomma	convexum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6650	NA	Jaskinia Łabajowa (J.Olk.I-07.46)	50.19056	19.7725	NA	NA	POL	Jerzmanowice	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Porrhomma egeria	NA	species	Linyphiidae	Porrhomma	egeria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10321	NA	Jaskinia Łabajowa (J.Olk.I-07.46)	50.19056	19.7725	NA	NA	POL	Jerzmanowice	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Micrargus herbigradus	NA	species	Linyphiidae	Micrargus	herbigradus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11933	NA	Jaskinia Łabajowa (J.Olk.I-07.46)	50.19056	19.7725	NA	NA	POL	Jerzmanowice	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Lepthyphantes leprosus	NA	species	Linyphiidae	Lepthyphantes	leprosus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17133	NA	Jaskinia Łabajowa (J.Olk.I-07.46)	50.19056	19.7725	NA	NA	POL	Jerzmanowice	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Meta menardi	NA	species	Tetragnathidae	Meta	menardi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25942	NA	Jaskinia Łabajowa (J.Olk.I-07.46)	50.19056	19.7725	NA	NA	POL	Jerzmanowice	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Tegenaria silvestris	NA	species	Agelenidae	Tegenaria	silvestris	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30616	NA	Jaskinia Łabajowa (J.Olk.I-07.46)	50.19056	19.7725	NA	NA	POL	Jerzmanowice	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Labulla thoracica	NA	species	Linyphiidae	Labulla	thoracica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3961	NA	Jaskinia Łokietka (J.Olk.I-02b.125)	50.20169	19.81877	NA	NA	POL	Sąspów	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Nesticus cellulanus	NA	species	Nesticidae	Nesticus	cellulanus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6660	NA	Jaskinia Łokietka (J.Olk.I-02b.125)	50.20169	19.81877	NA	NA	POL	Sąspów	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Porrhomma egeria	NA	species	Linyphiidae	Porrhomma	egeria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11820	NA	Jaskinia Łokietka (J.Olk.I-02b.125)	50.20169	19.81877	NA	NA	POL	Sąspów	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Formiphantes lephthyphantiformis	NA	species	Linyphiidae	Formiphantes	lephthyphantiformis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17147	NA	Jaskinia Łokietka (J.Olk.I-02b.125)	50.20169	19.81877	NA	NA	POL	Sąspów	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Meta menardi	NA	species	Tetragnathidae	Meta	menardi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6665	NA	Jaskinia Biała (J.Olk.I-02b.164)	50.20359	19.80537	NA	NA	POL	Sąspów	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Porrhomma egeria	NA	species	Linyphiidae	Porrhomma	egeria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6666	NA	Jaskinia Biała (J.Olk.I-02b.164)	50.20359	19.80537	NA	NA	POL	Sąspów	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Porrhomma egeria	NA	species	Linyphiidae	Porrhomma	egeria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17152	NA	Jaskinia Biała (J.Olk.I-02b.164)	50.20359	19.80537	NA	NA	POL	Sąspów	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Meta menardi	NA	species	Tetragnathidae	Meta	menardi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20604	NA	Jaskinia Biała (J.Olk.I-02b.164)	50.20359	19.80537	NA	NA	POL	Sąspów	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Metellina merianae	NA	species	Tetragnathidae	Metellina	merianae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25201	NA	Jaskinia Biała (J.Olk.I-02b.164)	50.20359	19.80537	NA	NA	POL	Sąspów	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Centromerus sellarius	NA	species	Linyphiidae	Centromerus	sellarius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25957	NA	Jaskinia Biała (J.Olk.I-02b.164)	50.20359	19.80537	NA	NA	POL	Sąspów	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Tegenaria silvestris	NA	species	Agelenidae	Tegenaria	silvestris	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30619	NA	Jaskinia Biała (J.Olk.I-02b.164)	50.20359	19.80537	NA	NA	POL	Sąspów	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Labulla thoracica	NA	species	Linyphiidae	Labulla	thoracica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3932	NA	Jaskinia Bliźniacza (J.Olk.I-05.01)	50.15306	19.78528	NA	NA	POL	Bolechowice	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Nesticus cellulanus	NA	species	Nesticidae	Nesticus	cellulanus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9084	NA	Jaskinia Bliźniacza (J.Olk.I-05.01)	50.15306	19.78528	NA	NA	POL	Bolechowice	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Tegenaria ferruginea	NA	species	Agelenidae	Tegenaria	ferruginea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11925	NA	Jaskinia Bliźniacza (J.Olk.I-05.01)	50.15306	19.78528	NA	NA	POL	Bolechowice	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Lepthyphantes leprosus	NA	species	Linyphiidae	Lepthyphantes	leprosus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17112	NA	Jaskinia Bliźniacza (J.Olk.I-05.01)	50.15306	19.78528	NA	NA	POL	Bolechowice	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Meta menardi	NA	species	Tetragnathidae	Meta	menardi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25926	NA	Jaskinia Bliźniacza (J.Olk.I-05.01)	50.15306	19.78528	NA	NA	POL	Bolechowice	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Tegenaria silvestris	NA	species	Agelenidae	Tegenaria	silvestris	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
