row_number	site_code	site_name	latitude	longitude	coord_precision	altitude	country	locality	site_comments	sampling_date	sampling_participants	sampling_methods	sampling_fixatives	sampling_target	habitat	access_points	sampling_comments	sampling_id	taxon_name	unclassified	taxon_rank	family	genus	specific_epithet	tax_id_confer	tax_id_addendum	identified_on_date	identified_by	specimen_quantity	content_description	type_status	occurrence_comments	occurrence_id	data_repository	collection	pub_DOI	pub_authors	pub_year	pub_title	pub_journal	pub_verbatim	gene	seq_specimen_identifier	accession_number	MOTU	sequence_id	seq_comments
167	NA	Bobjerska pećina	42.69884	18.64454	1000	NA	MNE	NA	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Stygopholcus absoloni	NA	species	Pholcidae	Stygopholcus	absoloni	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12029	NA	Bobjerska pećina	42.69884	18.64454	1000	NA	MNE	NA	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Troglohyphantes lesserti	NA	species	Linyphiidae	Troglohyphantes	lesserti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12034	NA	Bobjerska pećina	42.69884	18.64454	1000	NA	MNE	NA	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Troglohyphantes lesserti	NA	species	Linyphiidae	Troglohyphantes	lesserti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12035	NA	Bobjerska pećina	42.69884	18.64454	1000	NA	MNE	NA	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Troglohyphantes lesserti	NA	species	Linyphiidae	Troglohyphantes	lesserti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12048	NA	Bobjerska pećina	42.69884	18.64454	NA	NA	MNE	Gornje Polje	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Troglohyphantes lesserti	NA	species	Linyphiidae	Troglohyphantes	lesserti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26230	NA	Bobjerska pećina	42.69884	18.64454	1000	NA	MNE	NA	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Stygopholcus skotophilus	NA	species	Pholcidae	Stygopholcus	skotophilus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27566	NA	Bobjerska pećina	42.69884	18.64454	1000	NA	MNE	NA	NA	1935-07-20	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Stalagtia sp.	TRUE	genus	Dysderidae	Stalagtia	sp.	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27567	NA	Bobjerska pećina	42.69884	18.64454	1000	NA	MNE	NA	NA	1935-07-20	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Stalagtia sp.	TRUE	genus	Dysderidae	Stalagtia	sp.	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27568	NA	Bobjerska pećina	42.69884	18.64454	1000	NA	MNE	NA	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Stalagtia sp.	TRUE	genus	Dysderidae	Stalagtia	sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29158	NA	Bobjerska pećina	42.69884	18.64454	1000	NA	MNE	NA	NA	1969-07-30	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Palliduphantes spelaeorum	NA	species	Linyphiidae	Palliduphantes	spelaeorum	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29160	NA	Bobjerska pećina	42.69884	18.64454	1000	NA	MNE	NA	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Palliduphantes spelaeorum	NA	species	Linyphiidae	Palliduphantes	spelaeorum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30742	NA	Bobjerska pećina	42.69884	18.64454	1000	NA	MNE	NA	NA	NA	NA	NA	NA	NA	Terrestrial	Cave	NA	NA	Troglohyphantes troglodytes	NA	species	Linyphiidae	Troglohyphantes	troglodytes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7479	NA	Borna del Servais B	45.32253	7.32762	NA	NA	ITA	Ceres	NA	NA	NA	NA	NA	NA	Terrestrial	Artificial gallery	NA	NA	Kryptonesticus eremita	NA	species	Nesticidae	Kryptonesticus	eremita	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7480	NA	Borna del Servais B	45.32253	7.32762	NA	NA	ITA	Ceres	NA	NA	NA	NA	NA	NA	Terrestrial	Artificial gallery	NA	NA	Kryptonesticus eremita	NA	species	Nesticidae	Kryptonesticus	eremita	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
