site_code	site_name	latitude	longitude	coord_precision	altitude	country	locality	site_comments	sampling_date	sampling_participants	sampling_methods	sampling_fixatives	sampling_target	habitat	access_points	sampling_comments	sampling_id	taxon_name	unclassified	taxon_rank	family	genus	specific_epithet	tax_id_confer	tax_id_addendum	identified_on_date	identified_by	specimen_quantity	content_description	type_status	occurrence_comments	occurrence_id	data_repository	collection	pub_DOI	pub_authors	pub_year	pub_title	pub_journal	pub_verbatim	gene	seq_specimen_identifier	accession_number	MOTU	sequence_id	seq_comments
	Grotte de Banne	44,3356622	4,19817506	NA		FRA	Les Vens		NA					Terrestrial	Cave			Leptoneta abeillei		species	Leptonetidae	Leptoneta	abeillei				NA	NA						University of Barcelona (CRBA)												
	Grotte de la Salamandre	44,2591	4,3363	NA		FRA	Tharaux		NA					Terrestrial	Cave			Leptoneta abeillei		species	Leptonetidae	Leptoneta	abeillei				NA	NA						Josiane Lips Collection, GEB (Groupe d'étude de Biospéologie), Commission scientifique de la Fédération Française de Spéléologie												
	Fontaine de Champclos	44,39623	4,10375	NA		FRA	Les Vans		NA					Terrestrial	Cave			Leptoneta abeillei		species	Leptonetidae	Leptoneta	abeillei				NA	NA						Josiane Lips Collection, GEB (Groupe d'étude de Biospéologie), Commission scientifique de la Fédération Française de Spéléologie												
	Grotte de Pézenas	44,53073	4,2583	NA		FRA	Sanilhac		NA					Terrestrial	Cave			Leptoneta abeillei		species	Leptonetidae	Leptoneta	abeillei				NA	NA						Josiane Lips Collection, GEB (Groupe d'étude de Biospéologie), Commission scientifique de la Fédération Française de Spéléologie												
	Majića ponor	43,36001	17,28342	NA		BIH	NA		1999-12-05					Terrestrial	Cave			Stygopholcus absoloni		species	Pholcidae	Stygopholcus	absoloni				Martina Pavlek	2						Croatian Biospeleological Society, Zagreb, Croatia (CBSS)												
	Baba (Čvaljina)	42,860823	17,972174	NA		BIH	NA		2014-12-02					Terrestrial	Cave			Stygopholcus absoloni		species	Pholcidae	Stygopholcus	absoloni				Martina Pavlek	1						Croatian Biospeleological Society, Zagreb, Croatia (CBSS)												
	Bjelušica	42,84472	17,9786	NA		BIH	NA		2014-12-02					Terrestrial	Cave			Stygopholcus absoloni		species	Pholcidae	Stygopholcus	absoloni				Martina Pavlek	2						Croatian Biospeleological Society, Zagreb, Croatia (CBSS)												
	Bjelušica	42,84472	17,9786	NA		BIH	NA		2015-10-26					Terrestrial	Cave			Stygopholcus absoloni		species	Pholcidae	Stygopholcus	absoloni				Martina Pavlek	1						Croatian Biospeleological Society, Zagreb, Croatia (CBSS)												
	Markova pećina	42,97789	17,8269	NA		BIH	NA		2016-11-02					Terrestrial	Cave			Stygopholcus absoloni		species	Pholcidae	Stygopholcus	absoloni				Martina Pavlek	4						Croatian Biospeleological Society, Zagreb, Croatia (CBSS)												
	Baba (Čvaljina)	42,860823	17,972174	NA		BIH	NA		2017-08-27					Terrestrial	Cave			Stygopholcus absoloni		species	Pholcidae	Stygopholcus	absoloni				Martina Pavlek	2						Croatian Biospeleological Society, Zagreb, Croatia (CBSS)												
	Peć kod Ljubova	42,6874966049922	18,2582256397592	1000		BIH	NA		NA					Terrestrial	Cave			Stygopholcus absoloni		species	Pholcidae	Stygopholcus	absoloni				NA	NA						NA												
	Grabova peć kod Grabova dola	42,843504	17,910087	3000		BIH	NA		NA					Terrestrial	Cave			Stygopholcus absoloni		species	Pholcidae	Stygopholcus	absoloni				NA	NA						NA												
	Bezdan pod Ličem	42,812809	17,999925	3000		BIH	NA		NA					Terrestrial	Cave			Stygopholcus absoloni		species	Pholcidae	Stygopholcus	absoloni				NA	NA						NA												
	Grabova peć kod Grabova dola	42,843504	17,910087	3000		BIH	NA		NA					Terrestrial	Cave			Stygopholcus absoloni		species	Pholcidae	Stygopholcus	absoloni				NA	NA						NA												
	Vodena peć kod Sedlara	42,826161	18,053258	3000		BIH	NA		NA					Terrestrial	Cave			Stygopholcus absoloni		species	Pholcidae	Stygopholcus	absoloni				NA	NA						NA												
	Grabova pećina kod Sedlara	42,826161	18,053258	3000		BIH	NA		NA					Terrestrial	Cave			Stygopholcus absoloni		species	Pholcidae	Stygopholcus	absoloni				NA	NA						NA												
