code	year	verbatim	authors	journal	title
Norden_2020_Maryland_Entomo_7_4_1_16	2020	Norden A.W. 2020. Freshwater isopods (Crustacea: Isopoda: Asellidae) inhabiting upland vernal pools in Maryland. The Maryland Entomologist, 7(4), 2-16.	Norden A.W.	The Maryland Entomologist	Freshwater isopods (Crustacea: Isopoda: Asellidae) inhabiting upland vernal pools in Maryland
Henry_Magniez_1972_Sous_Plancher_10_3_45_48	1972	Henry J.P., Magniez G. 1972. Les asellides de la rivière souterraine de Beze. Sous le Plancher, 10(3), 45-48.	Henry J.P., Magniez G.	Sous le Plancher	Les asellides de la rivière souterraine de Beze
SmithsonianNMNH_2024	2024	Smithsonian Invertebrate Zoology Collections National Museum of Natural History	Smithsonian Invertebrate Zoology Collections National Museum of Natural History	Smithsonian Invertebrate Zoology Collections National Museum of Natural History	
Culver_et_al_2012_North_Nat_19_1_42	2012	Culver D.C., Holsinger J.R., Feller D.J. 2012. The fauna of seepage springs and other shallow subterranean habitats in the Mid-Atlantic Piedmont and Coastal Plain. Northeastern Naturalist 19, 1-42.	Culver D.C., Holsinger J.R., Feller D.J.	Northeastern Naturalist	The fauna of seepage springs and other shallow subterranean habitats in the Mid-Atlantic Piedmont and Coastal Plain
Bresson_1955_Arch_Zool_Exp_Gen_92_2_45_77	1955	Bresson J. 1955. Aselles de sources et de grottes d'Eurasie et d'Amérique du nord. Archives de Zoologie Experimentale et Generale, Notes et Revues, 92(2), 45-77.	Bresson J.	Archives de Zoologie Experimentale et Generale, Notes et Revues	Aselles de sources et de grottes d'Eurasie et d'Amérique du nord
Holsinger_et_al_2013_Banisteria_42_9_56	2013	Holsinger, John R., Culver David C., Hubbard, David A., Orndorff, William D., and Christopher S. Hobson. 2013. The invertebrate cave fauna of Virginia. Banisteria, 42: 9-56.	Holsinger, John R., Culver David C., Hubbard, David A., Orndorff, William D., and Christopher S. Hobson.	Banisteria	The invertebrate cave fauna of Virginia
Palatov_Chertoprud_2024_Invert_Zool_21_3_369_383	2024	Palatov D.M., Chertoprud E.M. 2024. A new stygobiotic species of the genus Proasellus Dudich, 1925 (Crustacea: Isopoda: Asellidae) from the Black Sea coast of the Caucasus, Russia. Invertebrate Zoology, 21(3), 369-383..	Palatov D.M., Chertoprud E.M.	Invertebrate Zoology	A new stygobiotic species of the genus Proasellus Dudich, 1925 (Crustacea: Isopoda: Asellidae) from the Black Sea coast of the Caucasus, Russia
Lewis_et_al_2025_Virginia_Mus_Nat_Hist_Suppl_1	2025	Lewis J.J., Lewis S.L., Orndorff W., Orndorff Z., Malard F., Konecny-Dupré L., Douady C. 2025. The Groundwater Isopods of Virginia. Supplement 1.	Lewis J.J., Lewis S.L., Orndorff W., Orndorff Z., Malard F., Konecny-Dupré L., Douady C.	Supplement	The Groundwater Isopods of Virginia
Lewis_et_al_2023_Virginia_Mus_Nat_Hist_Sp_Pub_19	2023	Lewis J.J., Lewis S.L., Orndorff W., Orndorff Z., Malard F., Konecny-Dupré L., Saclier N., Douady C. 2023. The Groundwater Isopods of Virginia (Isopoda: Asellidae And Cirolanidae). Virginia Museum of Natural History. Special Publications 19.	Lewis J.J., Lewis S.L., Orndorff W., Orndorff Z., Malard F., Konecny-Dupré L., Saclier N., Douady C.	Special Publications	The Groundwater Isopods of Virginia (Isopoda: Asellidae And Cirolanidae). Virginia Museum of Natural History
Saclier_et_al_2024_Mol_Ecol_Res_24_e13882	2024	Saclier, N., et al. 2024. A collaborative backbone resource for comparative studies of subterranean evolution: The World Asellidae database. Molecular Ecology Resources, 24, e13882.	Saclier, N., et al.	Molecular Ecology Resources, 24, e	A collaborative backbone resource for comparative studies of subterranean evolution: The World Asellidae database
