event_date	biomat_code	sampling_code
01/06/2013	ASELLUS_AQUATICUS_INFERNUS|CETATII1_201306	CETATII1_201306
01/06/2013	BRAGASELLUS_ESCOLAI|CALDERSP_197108	CALDERSP_197108
01/06/2013	BRAGASELLUS_LAGARI|GUADALAV_197609	GUADALAV_197609
01/06/2013	BRAGASELLUS_LAGARI|RMANTANZ_197609	RMANTANZ_197609
01/06/2013	CHTHONASELLUS_BODONI|CHIUPESI_200908	CHIUPESI_200908
01/06/2013	GALLASELLUS_HEILYI|MERIGNY_200908	MERIGNY_200908
01/06/2013	GALLASELLUS_HEILYI|MERIGNY_201603	MERIGNY_201603
01/06/2013	PROASELLUS_ACUTIANUS|CKMAP072_196808	CKMAP072_196808
01/06/2013	PROASELLUS_ACUTIANUS|FARFAFIU_196906	FARFAFIU_196906
01/06/2013	PROASELLUS_ALBIGENSIS|RAYSSAGU_200806	RAYSSAGU_200806
01/06/2013	PROASELLUS_ALBIGENSIS|MOULINGO_196310	MOULINGO_196310
01/06/2013	PROASELLUS_SP|BREGAVE_197509	BREGAVE_197509
01/06/2013	PROASELLUS_SP|BREGAVE_198807	BREGAVE_198807
01/06/2013	PROASELLUS_ANOPHTALMUS_SSP|STURBARU_196309	STURBARU_196309
01/06/2013	PROASELLUS_SP|ZIRA_197509	ZIRA_197509
01/06/2013	PROASELLUS_ANOPHTALMUS_DALMATINUS_AFF|CRNULJAC_195609	CRNULJAC_195609
01/06/2013	PROASELLUS_ANOPHTALMUS_RHAUSINUS_AFF|KRKAMASP_196409	KRKAMASP_196409
01/06/2013	PROASELLUS_ANOPHTALMUS_RHAUSINUS_AFF|MILJACKA_196409	MILJACKA_196409
01/06/2013	PROASELLUS_ANOPHTALMUS_LONGISETUS|BILECASP_196111	BILECASP_196111
01/06/2013	PROASELLUS_ANOPHTALMUS_LONGISETUS|DEJANOVA_195609	DEJANOVA_195609
01/06/2013	PROASELLUS_MONTENIGRINUS_MONTENIGRINUS|PROVALID_196207	PROVALID_196207
01/06/2013	PROASELLUS_MONTENIGRINUS_MONTENIGRINUS|SNJETICA_196307	SNJETICA_196307
01/06/2013	PROASELLUS_ANOPHTALMUS_SERBICUS|VALJEVOW_196206	VALJEVOW_196206
01/06/2013	PROASELLUS_AQUAECALIDAE|REBECOCA_196509	REBECOCA_196509
01/06/2013	PROASELLUS_ARAGONENSIS|BURGUI_201405	BURGUI_201405
01/06/2013	PROASELLUS_BERONI|SABARACA_196711	SABARACA_196711
01/06/2013	PROASELLUS_BETICUS|SUMIDORS_201405	SUMIDORS_201405
01/06/2013	PROASELLUS_CANTABRICUS|RESCANO_201102	RESCANO_201102
01/06/2013	PROASELLUS_CANTABRICUS_AFF|CUBIO_201405	CUBIO_201405
01/06/2013	PROASELLUS_CANTABRICUS|CANALESC_197308	CANALESC_197308
01/06/2013	PROASELLUS_CANTABRICUS|COVENTOS_196704	COVENTOS_196704
01/06/2013	PROASELLUS_CANTABRICUS|COVENTOS_197406	COVENTOS_197406
01/06/2013	PROASELLUS_CAVATICUS|VIS_201106	VIS_201106
01/06/2013	PROASELLUS_SP|CENTFONT_200908	CENTFONT_200908
01/06/2013	PROASELLUS_SP|HOMEDE_200908	HOMEDE_200908
01/06/2013	PROASELLUS_CAVATICUS|CORVEISS_200711	CORVEISS_200711
01/06/2013	PROASELLUS_CAVATICUS|FRAITE_201203	FRAITE_201203
01/06/2013	PROASELLUS_CAVATICUS|MONTBAR_201609	MONTBAR_201609
01/06/2013	PROASELLUS_CAVATICUS|FRAITE_201806	FRAITE_201806
01/06/2013	PROASELLUS_CAVATICUS|FRAITE_201406	FRAITE_201406
01/06/2013	PROASELLUS_CAVATICUS|BELLEGAR_200902	BELLEGAR_200902
01/06/2013	PROASELLUS_CAVATICUS|QUINQUE_200908	QUINQUE_200908
01/06/2013	PROASELLUS_CAVATICUS|FRAITE_200711	FRAITE_200711
01/06/2013	PROASELLUS_CAVATICUS|BORCASSO_200711	BORCASSO_200711
01/06/2013	PROASELLUS_CAVATICUS|DANYROGO_196605	DANYROGO_196605
01/06/2013	PROASELLUS_CAVATICUS|LESSERGA_197907	LESSERGA_197907
01/06/2013	PROASELLUS_CAVATICUS|OGOFDDU3_201006	OGOFDDU3_201006
01/06/2013	PROASELLUS_CAVATICUS|SWILDON_196510	SWILDON_196510
01/06/2013	PROASELLUS_SP|FONTANIL_200908	FONTANIL_200908
01/06/2013	PROASELLUS_CLAUDEI|VINCENT_199209	VINCENT_199209
01/06/2013	PROASELLUS_COIFFAITI|PPEYRE_201405	PPEYRE_201405
01/06/2013	PROASELLUS_COIFFAITI|GROTLULU_201601	GROTLULU_201601
01/06/2013	PROASELLUS_COIFFAITI|ARRIMBLA_198309	ARRIMBLA_198309
01/06/2013	PROASELLUS_COIFFAITI|MENJOTCA_198309	MENJOTCA_198309
01/06/2013	PROASELLUS_COIFFAITI|NAVAILLO_198309	NAVAILLO_198309
01/06/2013	PROASELLUS_COIFFAITI|SOUERCCA_198309	SOUERCCA_198309
01/06/2013	PROASELLUS_DANUBIALIS|BELARECA_195709	BELARECA_195709
01/06/2013	PROASELLUS_DANUBIALIS|GARITAWE_195706	GARITAWE_195706
01/06/2013	PROASELLUS_DEMINUTUS|GRADECSL_195708	GRADECSL_195708
01/06/2013	PROASELLUS_DEMINUTUS|TRGOVISC_195708	TRGOVISC_195708
01/06/2013	PROASELLUS_EBRENSIS|MARFIL_201010	MARFIL_201010
01/06/2013	PROASELLUS_EBRENSIS|CERECEDA_201405	CERECEDA_201405
01/06/2013	PROASELLUS_ESCOLAI|DEIFONTE_201405	DEIFONTE_201405
01/06/2013	PROASELLUS_GRAFI|CUEVAVAL_201405	CUEVAVAL_201405
01/06/2013	PROASELLUS_HERCEGOVINENSIS|BJELUSNI_196307	BJELUSNI_196307
01/06/2013	PROASELLUS_JALONIACUS|JALAVAL_201405	JALAVAL_201405
01/06/2013	PROASELLUS_LESCHERAE|BERGANT2_197609	BERGANT2_197609
01/06/2013	PROASELLUS_LESCHERAE|GUADALO1_197609	GUADALO1_197609
01/06/2013	PROASELLUS_LUSITANICUS|CONTENDA_195708	CONTENDA_195708
01/06/2013	PROASELLUS_LUSITANICUS|MINDHINU_195708	MINDHINU_195708
01/06/2013	PROASELLUS_LUSITANICUS|MOINHOS_195708	MOINHOS_195708
01/06/2013	PROASELLUS_MALERI|FAUSTLOC_197606	FAUSTLOC_197606
01/06/2013	PROASELLUS_MARGALEFI|MEREMIL_201405	MEREMIL_201405
01/06/2013	PROASELLUS_ORTIZI|JIVERO2_201405	JIVERO2_201405
01/06/2013	PROASELLUS_SP|OTOVEC_199107	OTOVEC_199107
01/06/2013	PROASELLUS_PARVULUS|STOBE_196210	STOBE_196210
01/06/2013	PROASELLUS_PHREATICUS|HCAMPROD_198402	HCAMPROD_198402
01/06/2013	PROASELLUS_PHREATICUS|VALLFOGO_198402	VALLFOGO_198402
01/06/2013	PROASELLUS_RACOVITZAI|BERNATAS_201405	BERNATAS_201405
01/06/2013	PROASELLUS_ROUCHI|VAMESCLA_197606	VAMESCLA_197606
01/06/2013	PROASELLUS_SP|AINR16AV_201507	AINR16AV_201507
01/06/2013	PROASELLUS_SP|AINR26AV_201507	AINR26AV_201507
01/06/2013	PROASELLUS_SP|AINR28AM_201507	AINR28AM_201507
01/06/2013	PROASELLUS_SP|AINR30AV_201507	AINR30AV_201507
01/06/2013	PROASELLUS_SP|AINR33AM_201507	AINR33AM_201507
01/06/2013	PROASELLUS_SP|BUECHAVD_201007	BUECHAVD_201007
01/06/2013	PROASELLUS_SP|VIOLETTE_200707	VIOLETTE_200707
