id	name	code	country_code	coordinates	municipality	province
1	Planina Cave Pivka Channel	PIVKACAV	SI		PLANINA	POSTOJNA
2	Rak Channel, Planina Cave, Planina, Si	PLANINS2	SI		PLANINA	POSTOJNA
3	Hagieni Surface Sulfurous Spring. Limestone Plateau Of Southern Dobrogoea	HAGIENIS	RO		HAGIENI	CONSTANTA
4	Movile Cave. Limestone Plateau Of Southern Dobrogoea	MOVILECA	RO		MANGALIA	CONSTANTA
5	Avram Iancy 24	AIARCU24	RO		MANGALIA	CONSTANTA
6	Well F4. Dobrogoea. Mangalia. Limestone Plateau Of Southern Dobrogoea	DOBROWF4	RO		MANGALIA	CONSTANTA
7	Well F8. Dobrogoea. Limestone Plateau Of Southern Dobrogoea	DOBROWF8	RO		ARSA	CONSTANTA
11	Aleea Cetatii 1	CETATII1	RO		MANGALIA	CONSTANTA
12	Trebiciano Cave	TREBICGR	IT		TRIESTE	TRIESTE
13	Trebiciano Cave, Trieste, It Trebici1 Italy	TREBICI1	IT		TREBICIANO	TRIESTE
15	Grotta Meravigliosa Di Lazzaro Jerko Opicina Italy	MERAVIGL	IT		OPICINA	TRIESTE
18	Vodna Jama V Lozi	VODNAJAM	SI		RAKULIK	POSTOJNA
20	Cueva A Sul	CUEVASUL	ES		EL MAZUCO	ASTURIA
21	Spring Debajo De Las Cuevas De Debodes	DEBODESP	ES		DEBODES	ASTURIA
22	Cueva De La Marniosa	MARNIOSA	ES		TRESVISO	CANTABRIA
23	Nacimiento. Cueva Del	NACIMICA	ES		TRESVISO	CANTABRIA
24	Cueva Del Agua Pres De Tresviso	TRESVISO	ES		TRESVISO	CANTABRIA
25	Spring E. De La Carretera Trubia-Puerto De Ventana (Sp)	ENTRAGSP	ES		ENTRAGO	ASTURIA
26	Carretera Local A Caleao 1km Coballes	COBALLE2	ES		CASO	OVIEDO
27	Rio Nalon Pendones	PENDONES	ES		CASO	OVIEDO
28	Rio Caleao	COBALLE1	ES		CASO	OVIEDO
30	Puente Carretera A Tarna La Foz	LAFOZ	ES		CASO	OVIEDO
32	Concha De Artedo Artedo	CONCHA	ES		CUDILLERO	ASTURIAS
33	Rio Sella Fries	FRIES	ES		CANGAS DE ONIS	OVIEDO
34	Cueva Calderon	CALDERSP	ES		VELILLA DEL RIO CARRION	PALENCIA
35	Sella River (Amieva 929 M)	SELLARAM	ES		AMIEVA	ASTURIA
36	Cueva Del Oso	DELOSOCA	ES		PUENTE VIESGO	CANTABRIA
37	Cova Del Infierno	INFIERNO	ES		COVADONGA	ASTURIA
38	Captated Resurgence Al Lado O. De La Carretera Local A Caleao 0.5 Km S. De Coballes	CALEAOS1	ES		COBALLES	ASTURIA
39	Small Resurgence Al Lado O. De La Carretera Local A Caleao 1 Km S. De Coballes	CALEAOS2	ES		COBALLES	ASTURIA
40	Spring O. Del Puente Carretera A Tarna	CASOSP	ES		CASO	ASTURIA
41	Rio De Aller	RDEALLER	ES		CASOMERA	ASTURIA
42	Rio De Nueva	RDENUEVA	ES		NUEVA	ASTURIA
43	Rio Fuente Santa	RFUSANTA	ES		NAVA	ASTURIA
44	Rio Nalon Pendones	RNALONPE	ES		PENDONES	ASTURIA
45	Rio Sella Fries	RSELLAFR	ES		FRIES	ASTURIA
46	Rio Sella Ribota	RSELLAR	ES		RIBOTA	LEON
47	Rio Sella Tornin	RSELLATO	ES		TORNIN	ASTURIA
48	Gouffre Torca Castil 15	TORCASTI	ES		SOTRES	ASTURIA
49	Rio Cares Camarmena	RCARESCA	ES		PREGUELES	ASTURIA
50	Region De Coimbra	RCOIMBRA	PT		COIMBRA	COIMBRA
51	Rio Yuso Barniedo De La Reina	YUSOREIN	ES		PORTILLA DE LA REINA	LEON
53	Rio Curueno	RCURUENO	ES		VALDEPIELAGO	LEON
54	Rio Esla	RIOESLA	ES		LAS SALAS	LEON
55	Rio Torio Felmin	RIOTORIO	ES		FELMIN	LEON
56	Rio Yuso Portilla De La Reina	RIOYUSO	ES		PORTILLA DE LA REINA	LEON
57	Rio Vez Aboim Das Chocas	ABOIM	PT		ABOIM DAS CHOCAS	NORTE
58	Puits De Ponte Da Barca	PTEBARCA	PT		PONTE DA BARCA	VIANA DO CASTELLO
59	Station 5 Puits Villa Do Conde	W05CONDE	PT		VILLA DO CONDE	PORTO
60	Station 6 Puits Villa Do Conde	W06CONDE	PT		VILLA DO CONDE	PORTO
61	Deux Puits Tres Proches A Reigada	REIGADAW	PT		REIGADA	GUARDA
62	Tunnel Dels Sumidors Vallada	SUMIDORS	ES		VALLADA	VALENCIA
63	Rio Cabriel Cofrentes	CABRIEL	ES		COFRENTES	VALENCIA
64	Rio Cautaban Tejares Abarca Jarafuel	CAUTAB	ES		JARAFUEL	VALENCIA
65	Rio Tajo Trillo	TRILLO	ES		TRLLO	GUADALAJARA
66	Rio Argongena Teresa De Cofrentes	ARGONGE	ES		TERESA DE COFRENTES	VALENCIA
67	Rio De Albentosa Albentosa	ALBENTOS	ES		ALBENTOSA	TERUEL
68	Fuente El Meremillo Gestalgar	MEREMIL	ES		GESTALGAR	VALENCIA
69	Rio Cascante Del Rio 2	CASCAN2	ES		CASCANTE DEL RIO	TERUEL
76	Rio Jucar	RIOJUCAR	ES		HUELAMO	CUENCA
77	Rio Tejacillos	RTEJACIL	ES		CANETE	CUENCA
78	Turia River	TURIARIV	ES		VILAMARXANT	VALENCIA
79	Villalpardo, Iniesta, Cuenca, Castille La Manche	VILLALPA	ES		VILLALPARDO	CUENCA
80	Cueva Del Becerro	BECERRO	ES		CARRASCOSA	CUENCA
81	Cave Tunnel Dels Sumidors	SUMIDOCA	ES		VALLADA	VALENCIA
82	Riviere Souterraine De La Cueva Del Tornero	TORNERO	ES		CHECA	GUADALAJARA
84	Rio Guadalaviar	GUADALAV	ES		ALBARACIN	TERUEL
85	Rio De La Sierra De La Mantanza	RMANTANZ	ES		CASCANTE DEL RIO	TERUEL
87	Well Entre La Carretera N 420 Teruel-Cuenca Y Rio Cabriel	CABRIELW	ES		PAJARONCILLO	CUENCA
88	Manantial Carcamas	CARCAMAS	ES		EL RECUENCO	GUADALAJARA
89	Nacimineto Del Rio Cuervo	CUERVOSP	ES		TRAGACETE	CUENCA
90	Rio Escabas	ESCABASR	ES		PRIEGO	CUENCA
91	Spring Cerca Del Puente Alto	GESTALGA	ES		GESTALGAR	VALENCIA
92	Well Al Lado O.de Las Cuevas Labradas	LABRADAW	ES		CUEVAS LABRADAS	TERUEL
93	Rio Cabriel Cofrentes	RCABRICO	ES		CASAS DE ALCANCE	VALENCIA
94	Rio Cabriel Requena	RCABRIRE	ES		VILLATOYA	ALBACETE
95	Well About 100 M No Del Rio Canoles	RCANOLEW	ES		VALLADA	VALENCIA
96	Well 0.2 Km No Del Rio Canoles	RICANOLE	ES		VALLADA	VALENCIA
97	Rio Tajo	RIOTAJO	ES		TRILLO	GUADALAJARA
98	Cueva Del Royo Malo	ROYOMALO	ES		POYATOS	CUENCA
100	Well So. De La Carretera Tragacete-Huelamo	TRAGACEW	ES		TRAGACETE	CUENCA
101	Fuente De Marfil Valdenoceda	MARFIL	ES		MERINDAD DE VALDEVIELSO	BURGOS
102	Source Rio Rudron Molino Rasgabragas	RUDRON	ES		BASCONCILLOS DEL TOZO	CASTILLA Y LEON
103	Rio Gaya Santes Creus	CREUS	ES		SANTES CREUS	TARRAGONA
